Linux 4.13.0-17-generic (instance-2) 	12/05/17 	_x86_64_	(1 CPU)

06:17:14        CPU     %user     %nice   %system   %iowait    %steal     %idle
06:17:15        all      0.00      0.00      0.00      0.00      0.00    100.00
06:17:16        all     20.20      0.00      1.01      1.01      0.00     77.78
06:17:17        all     65.00      0.00      2.00     33.00      0.00      0.00
06:17:18        all     88.12      0.00      3.96      7.92      0.00      0.00
06:17:19        all     97.00      0.00      3.00      0.00      0.00      0.00
06:17:20        all     97.00      0.00      3.00      0.00      0.00      0.00
06:17:21        all    100.00      0.00      0.00      0.00      0.00      0.00
06:17:22        all    100.00      0.00      0.00      0.00      0.00      0.00
06:17:23        all    100.00      0.00      0.00      0.00      0.00      0.00
06:17:24        all     99.00      0.00      1.00      0.00      0.00      0.00
06:17:25        all     99.00      0.00      1.00      0.00      0.00      0.00
06:17:26        all    100.00      0.00      0.00      0.00      0.00      0.00
06:17:27        all    100.00      0.00      0.00      0.00      0.00      0.00
06:17:28        all     99.00      0.00      1.00      0.00      0.00      0.00
06:17:29        all    100.00      0.00      0.00      0.00      0.00      0.00
06:17:30        all     99.00      0.00      1.00      0.00      0.00      0.00
06:17:31        all    100.00      0.00      0.00      0.00      0.00      0.00
06:17:32        all     99.00      0.00      1.00      0.00      0.00      0.00
06:17:33        all     99.00      0.00      1.00      0.00      0.00      0.00
06:17:34        all    100.00      0.00      0.00      0.00      0.00      0.00
06:17:35        all     99.00      0.00      1.00      0.00      0.00      0.00
06:17:36        all     99.01      0.00      0.99      0.00      0.00      0.00
06:17:37        all    100.00      0.00      0.00      0.00      0.00      0.00
06:17:38        all    100.00      0.00      0.00      0.00      0.00      0.00
06:17:39        all     99.00      0.00      1.00      0.00      0.00      0.00
06:17:40        all     99.01      0.00      0.99      0.00      0.00      0.00
06:17:41        all    100.00      0.00      0.00      0.00      0.00      0.00
06:17:42        all    100.00      0.00      0.00      0.00      0.00      0.00
06:17:43        all     99.01      0.00      0.99      0.00      0.00      0.00
06:17:44        all    100.00      0.00      0.00      0.00      0.00      0.00
06:17:45        all     93.94      0.00      1.01      5.05      0.00      0.00
06:17:46        all     99.00      0.00      1.00      0.00      0.00      0.00
06:17:47        all    100.00      0.00      0.00      0.00      0.00      0.00
06:17:48        all     99.01      0.00      0.99      0.00      0.00      0.00
06:17:49        all     99.00      0.00      1.00      0.00      0.00      0.00
06:17:50        all    100.00      0.00      0.00      0.00      0.00      0.00
06:17:51        all    100.00      0.00      0.00      0.00      0.00      0.00
06:17:52        all    100.00      0.00      0.00      0.00      0.00      0.00
06:17:53        all     99.00      0.00      1.00      0.00      0.00      0.00
06:17:54        all     99.00      0.00      1.00      0.00      0.00      0.00
06:17:55        all    100.00      0.00      0.00      0.00      0.00      0.00
06:17:56        all    100.00      0.00      0.00      0.00      0.00      0.00
06:17:57        all     99.01      0.00      0.99      0.00      0.00      0.00
