Linux 4.13.0-17-generic (instance-2) 	12/05/17 	_x86_64_	(1 CPU)

07:00:18        CPU     %user     %nice   %system   %iowait    %steal     %idle
07:00:19        all      0.00      0.00      0.00      0.00      0.00    100.00
07:00:20        all      0.00      0.00      0.00      0.00      0.00    100.00
07:00:21        all     55.45      0.00      2.97     14.85      0.00     26.73
07:00:22        all     39.39      0.00      2.02     58.59      0.00      0.00
07:00:23        all     93.00      0.00      3.00      4.00      0.00      0.00
07:00:24        all     97.00      0.00      3.00      0.00      0.00      0.00
07:00:25        all     96.97      0.00      2.02      1.01      0.00      0.00
07:00:26        all    100.00      0.00      0.00      0.00      0.00      0.00
07:00:27        all     99.01      0.00      0.99      0.00      0.00      0.00
07:00:28        all    100.00      0.00      0.00      0.00      0.00      0.00
07:00:29        all    100.00      0.00      0.00      0.00      0.00      0.00
07:00:30        all    100.00      0.00      0.00      0.00      0.00      0.00
07:00:31        all     99.00      0.00      1.00      0.00      0.00      0.00
07:00:32        all     99.00      0.00      1.00      0.00      0.00      0.00
07:00:33        all    100.00      0.00      0.00      0.00      0.00      0.00
07:00:34        all    100.00      0.00      0.00      0.00      0.00      0.00
07:00:35        all     99.00      0.00      1.00      0.00      0.00      0.00
07:00:36        all    100.00      0.00      0.00      0.00      0.00      0.00
07:00:37        all     99.00      0.00      1.00      0.00      0.00      0.00
07:00:38        all    100.00      0.00      0.00      0.00      0.00      0.00
07:00:39        all     97.00      0.00      1.00      2.00      0.00      0.00
07:00:40        all     99.01      0.00      0.99      0.00      0.00      0.00
07:00:41        all    100.00      0.00      0.00      0.00      0.00      0.00
07:00:42        all     94.06      0.00      2.97      2.97      0.00      0.00
07:00:43        all     99.00      0.00      1.00      0.00      0.00      0.00
07:00:44        all     99.00      0.00      1.00      0.00      0.00      0.00
07:00:45        all    100.00      0.00      0.00      0.00      0.00      0.00
07:00:46        all     98.02      0.00      1.98      0.00      0.00      0.00
07:00:47        all    100.00      0.00      0.00      0.00      0.00      0.00
07:00:48        all     97.03      0.00      2.97      0.00      0.00      0.00
