Linux 4.13.0-17-generic (instance-2) 	12/17/17 	_x86_64_	(1 CPU)

18:07:45        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:07:46        all      0.00      0.00      0.00      0.00      0.00    100.00
18:07:47        all      0.00      0.00      0.00      0.00      0.00    100.00
18:07:48        all     24.00      0.00      1.00      0.00      0.00     75.00
18:07:49        all     96.00      0.00      4.00      0.00      0.00      0.00
18:07:50        all     97.00      0.00      3.00      0.00      0.00      0.00
18:07:51        all     98.00      0.00      2.00      0.00      0.00      0.00
18:07:52        all     99.00      0.00      1.00      0.00      0.00      0.00
18:07:53        all    100.00      0.00      0.00      0.00      0.00      0.00
18:07:54        all     99.00      0.00      1.00      0.00      0.00      0.00
18:07:55        all     98.00      0.00      2.00      0.00      0.00      0.00
18:07:56        all     98.00      0.00      2.00      0.00      0.00      0.00
18:07:57        all     97.00      0.00      3.00      0.00      0.00      0.00
18:07:58        all    100.00      0.00      0.00      0.00      0.00      0.00
18:07:59        all    100.00      0.00      0.00      0.00      0.00      0.00
18:08:00        all    100.00      0.00      0.00      0.00      0.00      0.00
18:08:01        all     99.00      0.00      1.00      0.00      0.00      0.00
18:08:02        all     99.00      0.00      1.00      0.00      0.00      0.00
18:08:03        all    100.00      0.00      0.00      0.00      0.00      0.00
18:08:04        all    100.00      0.00      0.00      0.00      0.00      0.00
18:08:05        all     99.00      0.00      1.00      0.00      0.00      0.00
18:08:06        all    100.00      0.00      0.00      0.00      0.00      0.00
18:08:07        all     99.00      0.00      1.00      0.00      0.00      0.00
18:08:08        all     99.00      0.00      1.00      0.00      0.00      0.00
18:08:09        all    100.00      0.00      0.00      0.00      0.00      0.00
18:08:10        all    100.00      0.00      0.00      0.00      0.00      0.00
18:08:11        all     99.00      0.00      1.00      0.00      0.00      0.00
18:08:12        all    100.00      0.00      0.00      0.00      0.00      0.00
18:08:13        all    100.00      0.00      0.00      0.00      0.00      0.00
18:08:14        all    100.00      0.00      0.00      0.00      0.00      0.00
18:08:15        all     99.00      0.00      1.00      0.00      0.00      0.00
18:08:16        all    100.00      0.00      0.00      0.00      0.00      0.00
18:08:17        all    100.00      0.00      0.00      0.00      0.00      0.00
18:08:18        all    100.00      0.00      0.00      0.00      0.00      0.00
18:08:19        all     98.00      0.00      2.00      0.00      0.00      0.00
18:08:20        all     99.00      0.00      1.00      0.00      0.00      0.00
18:08:21        all    100.00      0.00      0.00      0.00      0.00      0.00
18:08:22        all     99.01      0.00      0.99      0.00      0.00      0.00
18:08:23        all     98.99      0.00      1.01      0.00      0.00      0.00
18:08:24        all    100.00      0.00      0.00      0.00      0.00      0.00
18:08:25        all     99.01      0.00      0.99      0.00      0.00      0.00
18:08:26        all    100.00      0.00      0.00      0.00      0.00      0.00
18:08:27        all     99.00      0.00      1.00      0.00      0.00      0.00
18:08:28        all    100.00      0.00      0.00      0.00      0.00      0.00
18:08:29        all    100.00      0.00      0.00      0.00      0.00      0.00
18:08:30        all    100.00      0.00      0.00      0.00      0.00      0.00
18:08:31        all    100.00      0.00      0.00      0.00      0.00      0.00
18:08:32        all     99.00      0.00      1.00      0.00      0.00      0.00
18:08:33        all    100.00      0.00      0.00      0.00      0.00      0.00
18:08:34        all    100.00      0.00      0.00      0.00      0.00      0.00
18:08:35        all     99.01 Linux 4.13.0-17-generic (instance-2) 	12/17/17 	_x86_64_	(1 CPU)

18:10:36        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:10:37        all      0.00      0.00      0.00      0.00      0.00    100.00
18:10:38        all      0.00      0.00      0.00      0.00      0.00    100.00
18:10:39        all      0.00      0.00      0.00      0.00      0.00    100.00
18:10:40        all     75.00      0.00      4.00      0.00      0.00     21.00
18:10:41        all     98.00      0.00      2.00      0.00      0.00      0.00
18:10:42        all     98.00      0.00      2.00      0.00      0.00      0.00
