Linux 4.13.0-17-generic (instance-2) 	12/05/17 	_x86_64_	(1 CPU)

06:10:44        CPU     %user     %nice   %system   %iowait    %steal     %idle
06:10:45        all      0.00      0.00      0.00      0.00      0.00    100.00
06:10:46        all      0.00      0.00      0.00      0.00      0.00    100.00
06:10:47        all      0.00      0.00      0.00      0.00      0.00    100.00
06:10:48        all     35.00      0.00      3.00     18.00      0.00     44.00
06:10:49        all     52.00      0.00      0.00     48.00      0.00      0.00
06:10:50        all     50.51      0.00      2.02     47.47      0.00      0.00
06:10:51        all     93.14      0.00      3.92      2.94      0.00      0.00
06:10:52        all     96.00      0.00      4.00      0.00      0.00      0.00
06:10:53        all     95.96      0.00      4.04      0.00      0.00      0.00
06:10:54        all     98.02      0.00      1.98      0.00      0.00      0.00
06:10:55        all    100.00      0.00      0.00      0.00      0.00      0.00
06:10:56        all     99.00      0.00      1.00      0.00      0.00      0.00
06:10:57        all     98.00      0.00      2.00      0.00      0.00      0.00
06:10:58        all     99.00      0.00      1.00      0.00      0.00      0.00
06:10:59        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:00        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:01        all     99.00      0.00      1.00      0.00      0.00      0.00
06:11:02        all     99.01      0.00      0.99      0.00      0.00      0.00
06:11:03        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:04        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:05        all     97.98      0.00      2.02      0.00      0.00      0.00
06:11:06        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:07        all     98.02      0.00      1.98      0.00      0.00      0.00
06:11:08        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:09        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:10        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:11        all     99.00      0.00      1.00      0.00      0.00      0.00
06:11:12        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:13        all     99.01      0.00      0.99      0.00      0.00      0.00
06:11:14        all     97.98      0.00      2.02      0.00      0.00      0.00
06:11:15        all     98.02      0.00      1.98      0.00      0.00      0.00
06:11:16        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:17        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:18        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:19        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:20        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:21        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:22        all     99.00      0.00      1.00      0.00      0.00      0.00
06:11:23        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:24        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:25        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:26        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:27        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:28        all     97.00      0.00      3.00      0.00      0.00      0.00
06:11:29        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:30        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:31        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:32        all     99.00      0.00      1.00      0.00      0.00      0.00
06:11:33        all     99.01      0.00      0.99      0.00      0.00      0.00
06:11:34        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:35        all     94.00      0.00      6.00      0.00      0.00      0.00
06:11:36        all     97.00      0.00      3.00      0.00      0.00      0.00
06:11:37        all     99.00      0.00      1.00      0.00      0.00      0.00
06:11:38        all     99.00      0.00      1.00      0.00      0.00      0.00
06:11:39        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:40        all     98.00      0.00      2.00      0.00      0.00      0.00
06:11:41        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:42        all     99.01      0.00      0.99      0.00      0.00      0.00
06:11:43        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:44        all     99.00      0.00      1.00      0.00      0.00      0.00
06:11:45        all     98.00      0.00      2.00      0.00      0.00      0.00
06:11:46        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:47        all     99.01      0.00      0.99      0.00      0.00      0.00
06:11:48        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:49        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:50        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:51        all     99.01      0.00      0.99      0.00      0.00      0.00
06:11:52        all     96.97      0.00      3.03      0.00      0.00      0.00
06:11:53        all     98.02      0.00      1.98      0.00      0.00      0.00
06:11:54        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:55        all     97.98      0.00      2.02      0.00      0.00      0.00
06:11:56        all     99.01      0.00      0.99      0.00      0.00      0.00
06:11:57        all     99.00      0.00      1.00      0.00      0.00      0.00
06:11:58        all    100.00      0.00      0.00      0.00      0.00      0.00
06:11:59        all    100.00      0.00      0.00      0.00      0.00      0.00
