Linux 4.13.0-17-generic (instance-2) 	12/05/17 	_x86_64_	(1 CPU)

06:46:27        CPU     %user     %nice   %system   %iowait    %steal     %idle
06:46:28        all      0.00      0.00      0.00      0.00      0.00    100.00
06:46:29        all      9.09      0.00      0.00      0.00      0.00     90.91
06:46:30        all     57.43      0.00      2.97     39.60      0.00      0.00
06:46:31        all     76.77      0.00      3.03     20.20      0.00      0.00
06:46:32        all     95.00      0.00      5.00      0.00      0.00      0.00
06:46:33        all     97.00      0.00      3.00      0.00      0.00      0.00
06:46:34        all     97.98      0.00      2.02      0.00      0.00      0.00
06:46:35        all     99.01      0.00      0.99      0.00      0.00      0.00
06:46:36        all     99.00      0.00      1.00      0.00      0.00      0.00
06:46:37        all    100.00      0.00      0.00      0.00      0.00      0.00
06:46:38        all     99.00      0.00      1.00      0.00      0.00      0.00
06:46:39        all     99.00      0.00      1.00      0.00      0.00      0.00
06:46:40        all     99.00      0.00      1.00      0.00      0.00      0.00
06:46:41        all    100.00      0.00      0.00      0.00      0.00      0.00
06:46:42        all    100.00      0.00      0.00      0.00      0.00      0.00
06:46:43        all     99.00      0.00      1.00      0.00      0.00      0.00
06:46:44        all    100.00      0.00      0.00      0.00      0.00      0.00
06:46:45        all    100.00      0.00      0.00      0.00      0.00      0.00
06:46:46        all     99.01      0.00      0.99      0.00      0.00      0.00
06:46:47        all    100.00      0.00      0.00      0.00      0.00      0.00
06:46:48        all     99.00      0.00      1.00      0.00      0.00      0.00
06:46:49        all     99.00      0.00      1.00      0.00      0.00      0.00
06:46:50        all     98.99      0.00      1.01      0.00      0.00      0.00
06:46:51        all     98.02      0.00      1.98      0.00      0.00      0.00
06:46:52        all     98.00      0.00      2.00      0.00      0.00      0.00
06:46:53        all     97.00      0.00      3.00      0.00      0.00      0.00
06:46:54        all     99.00      0.00      1.00      0.00      0.00      0.00
06:46:55        all     99.00      0.00      1.00      0.00      0.00      0.00
06:46:56        all    100.00      0.00      0.00      0.00      0.00      0.00
06:46:57        all     98.99      0.00      1.01      0.00      0.00      0.00
06:46:58        all     98.00      0.00      2.00      0.00      0.00      0.00
06:46:59        all     98.02      0.00      1.98      0.00      0.00      0.00
06:47:00        all    100.00      0.00      0.00      0.00      0.00      0.00
06:47:01        all     99.00      0.00      1.00      0.00      0.00      0.00
06:47:02        all    100.00      0.00      0.00      0.00      0.00      0.00
06:47:03        all    100.00      0.00      0.00      0.00      0.00      0.00
06:47:04        all    100.00      0.00      0.00      0.00      0.00      0.00
06:47:05        all     99.00      0.00      1.00      0.00      0.00      0.00
06:47:06        all     98.00      0.00      2.00      0.00      0.00      0.00
06:47:07        all     97.00      0.00      3.00      0.00      0.00      0.00
06:47:08        all     99.00      0.00      1.00      0.00      0.00      0.00
06:47:09        all     99.00      0.00      1.00      0.00      0.00      0.00
06:47:10        all     99.01      0.00      0.99      0.00      0.00      0.00
06:47:11        all    100.00      0.00      0.00      0.00      0.00      0.00
06:47:12        all     99.00      0.00      1.00      0.00      0.00      0.00
06:47:13        all    100.00      0.00      0.00      0.00      0.00      0.00
06:47:14        all     98.02      0.00      1.98      0.00      0.00      0.00
06:47:15        all    100.00      0.00      0.00      0.00      0.00      0.00
06:47:16        all    100.00      0.00      0.00      0.00      0.00      0.00
06:47:17        all    100.00      0.00      0.00      0.00      0.00      0.00
06:47:18        all    100.00      0.00      0.00      0.00      0.00      0.00
06:47:19        all    100.00      0.00      0.00      0.00      0.00      0.00
06:47:20        all    100.00      0.00      0.00      0.00      0.00      0.00
06:47:21        all    100.00      0.00      0.00      0.00      0.00      0.00
06:47:22        all    100.00      0.00      0.00      0.00      0.00      0.00
06:47:23        all    100.00      0.00      0.00      0.00      0.00      0.00
06:47:24        all    100.00      0.00      0.00      0.00      0.00      0.00
06:47:25        all    100.00      0.00      0.00      0.00      0.00      0.00
06:47:26        all     14.00      0.00      2.00      0.00      0.00     84.00
06:47:27        all      0.00      0.00      0.00      0.00      0.00    100.00
06:47:28        all      0.00      0.00      0.00      0.00      0.00    100.00
06:47:29        all      0.00      0.00      0.00      0.00      0.00    100.00
06:47:30        all      0.00      0.00      0.00      1.00      0.00     99.00
06:47:31        all      0.99      0.00      0.00      0.00      0.00     99.01
06:47:32        all      0.00      0.00      0.00      0.00      0.00    100.00
06:47:33        all      0.00      0.00      0.00      0.00      0.00    100.00
06:47:34        all      0.00      0.00      0.00      0.00      0.00    100.00
06:47:35        all      0.00      0.00      0.00      2.00      0.00     98.00
06:47:36        all      0.00      0.00      0.00      0.00      0.00    100.00
06:47:37        all      0.00      0.00      0.00      0.00      0.00    100.00
06:47:38        all      0.00      0.00      0.00      0.00      0.00    100.00
06:47:39        all      0.00      0.00      0.00      0.00      0.00    100.00
