Linux 4.13.0-17-generic (instance-2) 	12/05/17 	_x86_64_	(1 CPU)

06:42:50        CPU     %user     %nice   %system   %iowait    %steal     %idle
06:42:51        all      0.00      0.00      0.00      0.00      0.00    100.00
06:42:52        all      5.05      0.00      0.00      0.00      0.00     94.95
06:42:53        all     59.41      0.00      2.97     37.62      0.00      0.00
06:42:54        all     63.00      0.00      1.00     36.00      0.00      0.00
06:42:55        all     36.73      0.00      1.02     62.24      0.00      0.00
06:42:56        all     81.19      0.00      2.97     15.84      0.00      0.00
06:42:57        all     96.97      0.00      2.02      1.01      0.00      0.00
06:42:58        all     95.05      0.00      4.95      0.00      0.00      0.00
06:42:59        all     99.00      0.00      1.00      0.00      0.00      0.00
06:43:00        all     97.00      0.00      3.00      0.00      0.00      0.00
06:43:01        all     98.99      0.00      1.01      0.00      0.00      0.00
06:43:02        all     98.02      0.00      1.98      0.00      0.00      0.00
06:43:03        all    100.00      0.00      0.00      0.00      0.00      0.00
06:43:04        all     98.02      0.00      1.98      0.00      0.00      0.00
06:43:05        all     98.00      0.00      2.00      0.00      0.00      0.00
06:43:06        all    100.00      0.00      0.00      0.00      0.00      0.00
06:43:07        all    100.00      0.00      0.00      0.00      0.00      0.00
06:43:08        all     98.00      0.00      2.00      0.00      0.00      0.00
06:43:09        all     98.02      0.00      1.98      0.00      0.00      0.00
06:43:10        all    100.00      0.00      0.00      0.00      0.00      0.00
06:43:11        all    100.00      0.00      0.00      0.00      0.00      0.00
06:43:12        all     99.01      0.00      0.99      0.00      0.00      0.00
06:43:13        all     99.01      0.00      0.99      0.00      0.00      0.00
06:43:14        all    100.00      0.00      0.00      0.00      0.00      0.00
06:43:15        all     94.00      0.00      2.00      4.00      0.00      0.00
06:43:16        all     98.00      0.00      2.00      0.00      0.00      0.00
06:43:17        all     99.01      0.00      0.99      0.00      0.00      0.00
06:43:18        all    100.00      0.00      0.00      0.00      0.00      0.00
06:43:19        all    100.00      0.00      0.00      0.00      0.00      0.00
06:43:20        all    100.00      0.00      0.00      0.00      0.00      0.00
06:43:21        all     99.00      0.00      1.00      0.00      0.00      0.00
06:43:22        all    100.00      0.00      0.00      0.00      0.00      0.00
06:43:23        all    100.00      0.00      0.00      0.00      0.00      0.00
06:43:24        all    100.00      0.00      0.00      0.00      0.00      0.00
06:43:25        all    100.00      0.00      0.00      0.00      0.00      0.00
