Linux 4.13.0-17-generic (instance-2) 	12/05/17 	_x86_64_	(1 CPU)

07:02:34        CPU     %user     %nice   %system   %iowait    %steal     %idle
07:02:35        all      0.00      0.00      0.99      0.00      0.00     99.01
07:02:36        all      0.00      0.00      0.00      0.00      0.00    100.00
07:02:37        all     54.46      0.00      3.96     24.75      0.00     16.83
07:02:38        all     42.00      0.00      1.00     57.00      0.00      0.00
07:02:39        all     84.85      0.00      3.03     12.12      0.00      0.00
07:02:40        all     96.00      0.00      4.00      0.00      0.00      0.00
07:02:41        all     95.05      0.00      4.95      0.00      0.00      0.00
07:02:42        all     98.00      0.00      2.00      0.00      0.00      0.00
07:02:43        all    100.00      0.00      0.00      0.00      0.00      0.00
07:02:44        all     98.02      0.00      1.98      0.00      0.00      0.00
07:02:45        all    100.00      0.00      0.00      0.00      0.00      0.00
07:02:46        all    100.00      0.00      0.00      0.00      0.00      0.00
07:02:47        all    100.00      0.00      0.00      0.00      0.00      0.00
07:02:48        all     98.99      0.00      1.01      0.00      0.00      0.00
07:02:49        all     97.03      0.00      2.97      0.00      0.00      0.00
07:02:50        all    100.00      0.00      0.00      0.00      0.00      0.00
07:02:51        all     98.00      0.00      2.00      0.00      0.00      0.00
07:02:52        all    100.00      0.00      0.00      0.00      0.00      0.00
07:02:53        all     99.01      0.00      0.99      0.00      0.00      0.00
07:02:54        all    100.00      0.00      0.00      0.00      0.00      0.00
07:02:55        all    100.00      0.00      0.00      0.00      0.00      0.00
07:02:56        all    100.00      0.00      0.00      0.00      0.00      0.00
07:02:57        all     99.00      0.00      1.00      0.00      0.00      0.00
07:02:58        all     99.01      0.00      0.99      0.00      0.00      0.00
07:02:59        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:00        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:01        all     97.00      0.00      3.00      0.00      0.00      0.00
07:03:02        all     98.00      0.00      2.00      0.00      0.00      0.00
07:03:03        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:04        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:05        all     99.00      0.00      1.00      0.00      0.00      0.00
07:03:06        all     99.00      0.00      1.00      0.00      0.00      0.00
07:03:07        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:08        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:09        all     98.00      0.00      2.00      0.00      0.00      0.00
07:03:10        all     22.00      0.00      0.00      0.00      0.00     78.00
07:03:11        all      0.00      0.00      0.00      0.00      0.00    100.00
07:03:12        all     99.01      0.00      0.00      0.00      0.00      0.99
07:03:13        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:14        all     99.01      0.00      0.99      0.00      0.00      0.00
07:03:15        all     99.00      0.00      1.00      0.00      0.00      0.00
07:03:16        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:17        all     99.00      0.00      1.00      0.00      0.00      0.00
07:03:18        all     99.00      0.00      1.00      0.00      0.00      0.00
07:03:19        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:20        all     98.00      0.00      2.00      0.00      0.00      0.00
07:03:21        all     95.00      0.00      5.00      0.00      0.00      0.00
07:03:22        all     97.00      0.00      3.00      0.00      0.00      0.00
07:03:23        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:24        all     99.00      0.00      1.00      0.00      0.00      0.00
07:03:25        all     99.01      0.00      0.99      0.00      0.00      0.00
07:03:26        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:27        all     69.70      0.00      1.01      0.00      0.00     29.29
07:03:28        all      9.09      0.00      1.01      0.00      0.00     89.90
07:03:29        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:30        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:31        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:32        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:33        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:34        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:35        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:36        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:37        all     99.01      0.00      0.99      0.00      0.00      0.00
07:03:38        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:39        all     98.99      0.00      1.01      0.00      0.00      0.00
07:03:40        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:41        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:42        all     98.02      0.00      1.98      0.00      0.00      0.00
07:03:43        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:44        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:45        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:46        all     99.00      0.00      1.00      0.00      0.00      0.00
07:03:47        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:48        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:49        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:50        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:51        all     99.00      0.00      1.00      0.00      0.00      0.00
07:03:52        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:53        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:54        all     99.00      0.00      1.00      0.00      0.00      0.00
07:03:55        all    100.00      0.00      0.00      0.00      0.00      0.00
07:03:56        all     57.43      0.00      2.97      0.00      0.00     39.60
07:03:57        all      0.00      0.00      0.00      0.00      0.00    100.00
07:03:58        all      0.00      0.00      0.00      5.00      0.00     95.00
07:03:59        all      0.00      0.00      0.00      0.00      0.00    100.00
07:04:00        all      0.00      0.00      0.00      0.00      0.00    100.00
