Linux 4.13.0-17-generic (instance-2) 	12/05/17 	_x86_64_	(1 CPU)

06:49:51        CPU     %user     %nice   %system   %iowait    %steal     %idle
06:49:52        all      0.00      0.00      0.00      0.00      0.00    100.00
06:49:53        all     19.19      0.00      1.01      7.07      0.00     72.73
06:49:54        all     68.69      0.00      2.02     29.29      0.00      0.00
06:49:55        all     56.44      0.00      1.98     41.58      0.00      0.00
06:49:56        all     53.54      0.00      1.01     45.45      0.00      0.00
06:49:57        all     68.00      0.00      1.00     31.00      0.00      0.00
06:49:58        all     99.00      0.00      1.00      0.00      0.00      0.00
06:49:59        all     98.00      0.00      2.00      0.00      0.00      0.00
06:50:00        all     98.00      0.00      2.00      0.00      0.00      0.00
06:50:01        all     94.95      0.00      2.02      3.03      0.00      0.00
06:50:02        all     99.01      0.00      0.99      0.00      0.00      0.00
06:50:03        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:04        all     97.98      0.00      2.02      0.00      0.00      0.00
06:50:05        all     95.00      0.00      0.00      5.00      0.00      0.00
06:50:06        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:07        all     99.00      0.00      1.00      0.00      0.00      0.00
06:50:08        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:09        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:10        all     99.00      0.00      1.00      0.00      0.00      0.00
06:50:11        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:12        all     99.01      0.00      0.99      0.00      0.00      0.00
06:50:13        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:14        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:15        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:16        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:17        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:18        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:19        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:20        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:21        all     99.01      0.00      0.99      0.00      0.00      0.00
06:50:22        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:23        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:24        all     99.01      0.00      0.99      0.00      0.00      0.00
06:50:25        all     99.00      0.00      1.00      0.00      0.00      0.00
06:50:26        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:27        all     94.00      0.00      1.00      5.00      0.00      0.00
06:50:28        all     97.03      0.00      2.97      0.00      0.00      0.00
06:50:29        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:30        all     98.02      0.00      1.98      0.00      0.00      0.00
06:50:31        all     98.00      0.00      2.00      0.00      0.00      0.00
06:50:32        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:33        all     99.00      0.00      1.00      0.00      0.00      0.00
06:50:34        all     99.01      0.00      0.99      0.00      0.00      0.00
06:50:35        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:36        all     98.02      0.00      1.98      0.00      0.00      0.00
06:50:37        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:38        all     98.02      0.00      1.98      0.00      0.00      0.00
06:50:39        all     99.00      0.00      1.00      0.00      0.00      0.00
06:50:40        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:41        all     99.00      0.00      1.00      0.00      0.00      0.00
06:50:42        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:43        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:44        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:45        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:46        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:47        all     99.00      0.00      1.00      0.00      0.00      0.00
06:50:48        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:49        all     99.00      0.00      1.00      0.00      0.00      0.00
06:50:50        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:51        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:52        all     99.00      0.00      1.00      0.00      0.00      0.00
06:50:53        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:54        all     99.00      0.00      1.00      0.00      0.00      0.00
06:50:55        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:56        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:57        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:58        all    100.00      0.00      0.00      0.00      0.00      0.00
06:50:59        all     98.00      0.00      2.00      0.00      0.00      0.00
06:51:00        all     98.00      0.00      2.00      0.00      0.00      0.00
06:51:01        all     98.00      0.00      2.00      0.00      0.00      0.00
06:51:02        all     97.00      0.00      3.00      0.00      0.00      0.00
06:51:03        all     99.00      0.00      1.00      0.00      0.00      0.00
06:51:04        all     99.00      0.00      1.00      0.00      0.00      0.00
06:51:05        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:06        all     98.00      0.00      2.00      0.00      0.00      0.00
06:51:07        all     99.00      0.00      1.00      0.00      0.00      0.00
06:51:08        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:09        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:10        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:11        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:12        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:13        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:14        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:15        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:16        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:17        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:18        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:19        all     99.00      0.00      1.00      0.00      0.00      0.00
06:51:20        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:21        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:22        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:23        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:24        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:25        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:26        all     98.02      0.00      1.98      0.00      0.00      0.00
06:51:27        all     99.00      0.00      1.00      0.00      0.00      0.00
06:51:28        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:29        all     47.00      0.00      0.00      0.00      0.00     53.00
06:51:30        all     79.00      0.00      1.00      0.00      0.00     20.00
06:51:31        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:32        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:33        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:34        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:35        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:36        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:37        all     99.01      0.00      0.99      0.00      0.00      0.00
06:51:38        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:39        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:40        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:41        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:42        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:43        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:44        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:45        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:46        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:47        all     97.98      0.00      2.02      0.00      0.00      0.00
06:51:48        all     99.01      0.00      0.99      0.00      0.00      0.00
06:51:49        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:50        all     99.01      0.00      0.99      0.00      0.00      0.00
06:51:51        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:52        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:53        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:54        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:55        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:56        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:57        all    100.00      0.00      0.00      0.00      0.00      0.00
06:51:58        all     99.01      0.00      0.99      0.00      0.00      0.00
06:51:59        all    100.00      0.00      0.00      0.00      0.00      0.00
06:52:00        all    100.00      0.00      0.00      0.00      0.00      0.00
06:52:01        all     99.01      0.00      0.99      0.00      0.00      0.00
06:52:02        all    100.00      0.00      0.00      0.00      0.00      0.00
06:52:03        all    100.00      0.00      0.00      0.00      0.00      0.00
06:52:04        all    100.00      0.00      0.00      0.00      0.00      0.00
06:52:05        all    100.00      0.00      0.00      0.00      0.00      0.00
