Linux 4.13.0-17-generic (instance-2) 	12/05/17 	_x86_64_	(1 CPU)

06:55:21        CPU     %user     %nice   %system   %iowait    %steal     %idle
06:55:22        all      0.00      0.00      0.00      0.00      0.00    100.00
06:55:23        all     20.20      0.00      1.01     11.11      0.00     67.68
06:55:24        all     62.00      0.00      6.00     32.00      0.00      0.00
06:55:25        all     86.14      0.00      4.95      8.91      0.00      0.00
06:55:26        all     93.00      0.00      3.00      4.00      0.00      0.00
06:55:27        all     96.97      0.00      3.03      0.00      0.00      0.00
06:55:28        all     96.00      0.00      4.00      0.00      0.00      0.00
06:55:29        all     99.00      0.00      1.00      0.00      0.00      0.00
06:55:30        all     99.01      0.00      0.99      0.00      0.00      0.00
06:55:31        all    100.00      0.00      0.00      0.00      0.00      0.00
06:55:32        all     98.02      0.00      1.98      0.00      0.00      0.00
06:55:33        all    100.00      0.00      0.00      0.00      0.00      0.00
06:55:34        all    100.00      0.00      0.00      0.00      0.00      0.00
06:55:35        all     99.00      0.00      1.00      0.00      0.00      0.00
06:55:36        all     99.00      0.00      1.00      0.00      0.00      0.00
06:55:37        all     99.00      0.00      1.00      0.00      0.00      0.00
06:55:38        all    100.00      0.00      0.00      0.00      0.00      0.00
06:55:39        all    100.00      0.00      0.00      0.00      0.00      0.00
06:55:40        all     99.01      0.00      0.99      0.00      0.00      0.00
06:55:41        all    100.00      0.00      0.00      0.00      0.00      0.00
06:55:42        all    100.00      0.00      0.00      0.00      0.00      0.00
06:55:43        all    100.00      0.00      0.00      0.00      0.00      0.00
06:55:44        all     99.01      0.00      0.99      0.00      0.00      0.00
06:55:45        all     98.99      0.00      1.01      0.00      0.00      0.00
06:55:46        all     99.01      0.00      0.99      0.00      0.00      0.00
06:55:47        all     98.99      0.00      1.01      0.00      0.00      0.00
06:55:48        all     99.00      0.00      1.00      0.00      0.00      0.00
06:55:49        all     99.00      0.00      1.00      0.00      0.00      0.00
06:55:50        all    100.00      0.00      0.00      0.00      0.00      0.00
06:55:51        all     98.02      0.00      1.98      0.00      0.00      0.00
06:55:52        all    100.00      0.00      0.00      0.00      0.00      0.00
06:55:53        all    100.00      0.00      0.00      0.00      0.00      0.00
06:55:54        all     99.01      0.00      0.99      0.00      0.00      0.00
06:55:55        all    100.00      0.00      0.00      0.00      0.00      0.00
06:55:56        all    100.00      0.00      0.00      0.00      0.00      0.00
06:55:57        all    100.00      0.00      0.00      0.00      0.00      0.00
06:55:58        all     99.00      0.00      1.00      0.00      0.00      0.00
06:55:59        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:00        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:01        all     99.01      0.00      0.99      0.00      0.00      0.00
06:56:02        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:03        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:04        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:05        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:06        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:07        all     99.00      0.00      1.00      0.00      0.00      0.00
06:56:08        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:09        all     99.01      0.00      0.99      0.00      0.00      0.00
06:56:10        all     99.00      0.00      1.00      0.00      0.00      0.00
06:56:11        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:12        all     99.00      0.00      1.00      0.00      0.00      0.00
06:56:13        all     99.00      0.00      1.00      0.00      0.00      0.00
06:56:14        all     95.96      0.00      4.04      0.00      0.00      0.00
06:56:15        all     99.01      0.00      0.99      0.00      0.00      0.00
06:56:16        all     98.99      0.00      1.01      0.00      0.00      0.00
06:56:17        all     99.01      0.00      0.99      0.00      0.00      0.00
06:56:18        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:19        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:20        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:21        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:22        all     98.00      0.00      2.00      0.00      0.00      0.00
06:56:23        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:24        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:25        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:26        all     99.00      0.00      1.00      0.00      0.00      0.00
06:56:27        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:28        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:29        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:30        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:31        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:32        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:33        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:34        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:35        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:36        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:37        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:38        all     99.01      0.00      0.99      0.00      0.00      0.00
06:56:39        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:40        all     98.99      0.00      1.01      0.00      0.00      0.00
06:56:41        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:42        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:43        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:44        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:45        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:46        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:47        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:48        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:49        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:50        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:51        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:52        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:53        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:54        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:55        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:56        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:57        all    100.00      0.00      0.00      0.00      0.00      0.00
06:56:58        all     99.01      0.00      0.99      0.00      0.00      0.00
06:56:59        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:00        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:01        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:02        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:03        all     98.02      0.00      1.98      0.00      0.00      0.00
06:57:04        all     97.98      0.00      2.02      0.00      0.00      0.00
06:57:05        all     99.00      0.00      1.00      0.00      0.00      0.00
06:57:06        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:07        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:08        all     97.03      0.00      2.97      0.00      0.00      0.00
06:57:09        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:10        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:11        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:12        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:13        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:14        all     99.00      0.00      1.00      0.00      0.00      0.00
06:57:15        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:16        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:17        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:18        all     98.02      0.00      1.98      0.00      0.00      0.00
06:57:19        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:20        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:21        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:22        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:23        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:24        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:25        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:26        all     99.00      0.00      1.00      0.00      0.00      0.00
06:57:27        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:28        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:29        all     99.00      0.00      1.00      0.00      0.00      0.00
06:57:30        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:31        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:32        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:33        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:34        all     99.00      0.00      1.00      0.00      0.00      0.00
06:57:35        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:36        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:37        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:38        all     99.00      0.00      1.00      0.00      0.00      0.00
06:57:39        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:40        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:41        all     99.00      0.00      1.00      0.00      0.00      0.00
06:57:42        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:43        all     99.00      0.00      1.00      0.00      0.00      0.00
06:57:44        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:45        all     99.01      0.00      0.99      0.00      0.00      0.00
06:57:46        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:47        all     99.01      0.00      0.99      0.00      0.00      0.00
06:57:48        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:49        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:50        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:51        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:52        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:53        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:54        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:55        all     99.01      0.00      0.99      0.00      0.00      0.00
06:57:56        all    100.00      0.00      0.00      0.00      0.00      0.00
06:57:57        all    100.00      0.00      0.00      0.00      0.00      0.00
