Linux 4.13.0-19-generic (instance-2) 	12/20/17 	_x86_64_	(2 CPU)

22:44:10        CPU     %user     %nice   %system   %iowait    %steal     %idle
22:44:11        all      0.00      0.00      0.00      0.00      0.00    100.00
22:44:12        all      3.02      0.00      0.50      0.00      0.00     96.48
22:44:13        all     88.83      0.00      4.06      0.00      0.00      7.11
22:44:14        all     95.00      0.00      4.00      0.00      0.00      1.00
22:44:15        all     97.49      0.00      1.01      0.00      0.00      1.51
22:44:16        all     15.42      0.00      1.00      0.00      0.00     83.58
22:44:17        all      0.00      0.00      0.00      0.00      0.00    100.00
22:44:18        all      0.00      0.00      0.50      0.50      0.00     99.00
22:44:19        all      0.00      0.00      0.00      0.00      0.00    100.00
22:44:20        all      0.00      0.00      0.50      0.00      0.00     99.50
22:44:21        all      0.50      0.00      0.00      0.00      0.00     99.50
22:44:22        all      0.00      0.00      0.00      0.00      0.00    100.00
22:44:23        all      0.00      0.00      0.00      0.00      0.00    100.00
22:44:24        all     53.54      0.00      1.52      7.07      0.00     37.88
22:44:25        all     15.74      0.00      0.51     35.03      0.00     48.73
22:44:26        all     36.68      0.00      1.01     34.17      0.00     28.14
22:44:27        all     15.50      0.00      0.00     49.00      0.00     35.50
22:44:28        all     13.00      0.00      0.00     42.50      0.00     44.50
22:44:29        all     92.96      0.00      5.03      0.00      0.00      2.01
22:44:30        all     85.57      0.00      1.49      8.96      0.00      3.98
22:44:31        all     96.48      0.00      3.02      0.00      0.00      0.50
22:44:32        all     97.50      0.00      1.00      0.00      0.00      1.50
22:44:33        all     96.50      0.00      1.50      1.00      0.00      1.00
22:44:34        all     98.00      0.00      2.00      0.00      0.00      0.00
22:44:35        all     99.00      0.00      0.50      0.00      0.00      0.50
22:44:36        all     74.63      0.00      2.49      0.00      0.00     22.89
22:44:37        all     85.50      0.00      1.00      0.00      0.00     13.50
22:44:38        all     74.37      0.00      2.01      0.00      0.00     23.62
22:44:39        all     79.00      0.00      2.00      0.00      0.00     19.00
22:44:40        all     71.00      0.00      1.00      0.00      0.00     28.00
22:44:41        all     52.26      0.00      1.51      0.00      0.00     46.23
22:44:42        all     55.00      0.00      0.00      0.00      0.00     45.00
22:44:43        all     51.24      0.00      0.50      0.00      0.00     48.26
22:44:44        all     54.27      0.00      0.00      0.50      0.00     45.23
22:44:45        all     70.65      0.00      0.50      0.00      0.00     28.86
22:44:46        all     61.31      0.00      0.50      1.51      0.00     36.68
22:44:47        all     52.48      0.00      0.99      0.00      0.00     46.53
22:44:48        all     66.00      0.00      0.00      0.00      0.00     34.00
22:44:49        all     54.73      0.00      0.50      0.00      0.00     44.78
22:44:50        all     57.79      0.00      0.00      0.00      0.00     42.21
22:44:51        all     97.50      0.00      1.00      0.00      0.00      1.50
22:44:52        all     85.50      0.00      0.00      0.00      0.00     14.50
22:44:53        all     97.50      0.00      0.00      0.00      0.00      2.50
22:44:54        all     99.50      0.00      0.50      0.00      0.00      0.00
22:44:55        all     91.50      0.00      0.00      0.00      0.00      8.50
22:44:56        all     97.00      0.00      0.50      0.00      0.00      2.50
22:44:57        all     87.50      0.00      0.50      0.00      0.00     12.00
22:44:58        all     93.50      0.00      0.00      0.00      0.00      6.50
22:44:59        all     96.50      0.00      0.00      0.00      0.00      3.50
22:45:00        all    100.00      0.00      0.00      0.00      0.00      0.00
22:45:01        all     82.00      0.00      0.50      0.00      0.00     17.50
22:45:02        all     81.59      0.00      0.50      0.00      0.00     17.91
22:45:03        all    100.00      0.00      0.00      0.00      0.00      0.00
22:45:04        all     62.81      0.00      0.00      0.00      0.00     37.19
22:45:05        all     95.50      0.00      0.50      0.00      0.00      4.00
22:45:06        all     97.01      0.00      0.50      0.00      0.00      2.49
22:45:07        all    100.00      0.00      0.00      0.00      0.00      0.00
22:45:08        all     97.50      0.00      0.50      0.00      0.00      2.00
22:45:09        all    100.00      0.00      0.00      0.00      0.00      0.00
22:45:10        all     97.01      0.00      2.49      0.00      0.00      0.50
22:45:11        all     90.40      0.00      1.01      0.00      0.00      8.59
22:45:12        all     96.52      0.00      1.00      0.00      0.00      2.49
22:45:13        all      8.96      0.00      1.49      0.00      0.00     89.55
22:45:14        all      0.00      0.00      0.50      0.50      0.00     99.00
22:45:15        all      0.00      0.00      0.00      0.00      0.00    100.00
22:45:16        all      0.00      0.00      0.00      0.00      0.00    100.00
22:45:17        all      0.00      0.00      0.00      0.00      0.00    100.00
22:45:18        all      0.00      0.00      0.00      0.00      0.00    100.00
22:45:19        all      0.00      0.00      0.00      0.00      0.00    100.00
22:45:20        all      0.00      0.00      0.00      0.00      0.00    100.00
22:45:21        all      0.00      0.00      0.00      0.00      0.00    100.00
22:45:22        all      0.00      0.00      0.00      0.00      0.00    100.00
22:45:23        all      0.00      0.00      0.00      0.00      0.00    100.00
22:45:24        all      0.00      0.00      0.00      0.50      0.00     99.50
22:45:25        all      0.00      0.00      0.00      0.00      0.00    100.00
22:45:26        all      0.00      0.00      0.00      0.00      0.00    100.00
22:45:27        all      0.00      0.00      0.00      0.00      0.00    100.00
22:45:28        all      0.00      0.00      0.00      0.00      0.00    100.00
22:45:29        all      0.00      0.00      0.00      0.00      0.00    100.00
22:45:30        all      0.00      0.00      0.00      0.00      0.00    100.00
