Linux 4.13.0-19-generic (instance-2) 	12/20/17 	_x86_64_	(2 CPU)

23:40:03        CPU     %user     %nice   %system   %iowait    %steal     %idle
23:40:04        all      0.00      0.00      0.00      0.00      0.00    100.00
23:40:05        all     11.56      0.00      0.50      1.51      0.00     86.43
23:40:06        all     43.00      0.00      3.00     16.00      0.00     38.00
23:40:07        all     23.65      0.00      2.96     15.76      0.00     57.64
23:40:08        all      9.45      0.00      1.99     40.80      0.00     47.76
23:40:09        all      7.00      0.00      1.00     44.50      0.00     47.50
23:40:10        all     44.72      0.00      2.01     23.62      0.00     29.65
23:40:11        all     91.04      0.00      5.47      2.49      0.00      1.00
23:40:12        all     95.02      0.00      1.99      1.49      0.00      1.49
23:40:13        all     96.50      0.00      2.00      0.00      0.00      1.50
23:40:14        all     95.50      0.00      1.00      0.00      0.00      3.50
23:40:15        all     96.98      0.00      0.50      0.00      0.00      2.51
23:40:16        all     94.00      0.00      1.50      0.00      0.00      4.50
23:40:17        all     89.45      0.00      3.02      0.00      0.00      7.54
23:40:18        all     63.00      0.00      0.50      0.00      0.00     36.50
23:40:19        all     87.50      0.00      2.00      0.00      0.00     10.50
23:40:20        all     77.61      0.00      0.00      0.00      0.00     22.39
23:40:21        all     88.94      0.00      2.01      0.00      0.00      9.05
23:40:22        all     58.29      0.00      0.00      0.00      0.00     41.71
23:40:23        all     59.70      0.00      0.50      0.00      0.00     39.80
23:40:24        all     50.50      0.00      0.00      0.00      0.00     49.50
23:40:25        all     52.76      0.00      0.00      0.00      0.00     47.24
23:40:26        all     51.50      0.00      0.50      0.00      0.00     48.00
23:40:27        all     53.00      0.00      0.00      0.00      0.00     47.00
23:40:28        all     52.26      0.00      0.00      1.01      0.00     46.73
23:40:29        all     56.22      0.00      0.00      0.00      0.00     43.78
23:40:30        all     51.26      0.00      0.00      0.50      0.00     48.24
23:40:31        all     50.50      0.00      0.50      0.00      0.00     49.00
23:40:32        all     56.44      0.00      0.00      0.00      0.00     43.56
23:40:33        all     68.34      0.00      0.00      0.00      0.00     31.66
23:40:34        all     63.00      0.00      0.00      0.00      0.00     37.00
23:40:35        all     53.50      0.00      0.00      0.00      0.00     46.50
23:40:36        all     52.00      0.00      0.00      0.00      0.00     48.00
23:40:37        all     60.50      0.00      0.00      0.00      0.00     39.50
23:40:38        all     76.12      0.00      0.50      0.00      0.00     23.38
23:40:39        all     51.76      0.00      0.00      0.00      0.00     48.24
23:40:40        all     53.00      0.00      0.00      0.50      0.00     46.50
23:40:41        all     68.34      0.00      0.00      0.00      0.00     31.66
23:40:42        all     69.15      0.00      1.49      1.49      0.00     27.86
23:40:43        all     97.47      0.00      0.51      0.00      0.00      2.02
23:40:44        all     82.59      0.00      0.00      0.00      0.00     17.41
23:40:45        all     51.26      0.00      0.00      0.00      0.00     48.74
23:40:46        all     91.00      0.00      0.50      0.00      0.00      8.50
23:40:47        all     84.00      0.00      0.50      0.00      0.00     15.50
23:40:48        all     72.00      0.00      0.00      0.00      0.00     28.00
23:40:49        all     86.00      0.00      0.00      0.00      0.00     14.00
23:40:50        all     88.50      0.00      0.00      0.00      0.00     11.50
23:40:51        all     74.00      0.00      0.00      0.00      0.00     26.00
23:40:52        all     84.92      0.00      0.00      0.00      0.00     15.08
23:40:53        all     96.50      0.00      0.50      0.00      0.00      3.00
23:40:54        all     64.50      0.00      0.00      0.00      0.00     35.50
23:40:55        all     87.06      0.00      0.50      0.00      0.00     12.44
23:40:56        all     95.50      0.00      0.00      0.00      0.00      4.50
23:40:57        all     97.00      0.00      0.50      0.00      0.00      2.50
23:40:58        all     95.98      0.00      0.00      0.00      0.00      4.02
23:40:59        all     95.50      0.00      0.50      0.00      0.00      4.00
23:41:00        all     94.53      0.00      0.50      0.00      0.00      4.98
23:41:01        all     96.48      0.00      0.50      0.00      0.00      3.02
23:41:02        all     98.02      0.00      0.99      0.50      0.00      0.50
23:41:03        all     93.47      0.00      0.50      0.00      0.00      6.03
23:41:04        all     95.52      0.00      0.50      0.00      0.00      3.98
23:41:05        all     99.50      0.00      0.50      0.00      0.00      0.00
23:41:06        all     72.36      0.00      0.00      0.00      0.00     27.64
23:41:07        all     99.50      0.00      0.50      0.00      0.00      0.00
23:41:08        all    100.00      0.00      0.00      0.00      0.00      0.00
23:41:09        all     94.97      0.00      3.52      0.00      0.00      1.51
23:41:10        all     93.50      0.00      0.50      0.00      0.00      6.00
23:41:11        all     94.97      0.00      2.01      0.00      0.00      3.02
23:41:12        all     36.18      0.00      2.51      0.00      0.00     61.31
23:41:13        all      0.00      0.00      0.00      0.00      0.00    100.00
23:41:14        all      0.00      0.00      0.00      0.00      0.00    100.00
23:41:15        all      0.00      0.00      0.00      0.00      0.00    100.00
23:41:16        all      0.00      0.00      0.00      0.00      0.00    100.00
23:41:17        all      0.00      0.00      0.00      0.00      0.00    100.00
23:41:18        all      0.00      0.00      0.00      0.00      0.00    100.00
23:41:19        all      0.00      0.00      0.00      0.00      0.00    100.00
23:41:20        all     13.00      0.00      0.50     17.00      0.00     69.50
