Linux 4.13.0-19-generic (instance-2) 	12/21/17 	_x86_64_	(2 CPU)

00:31:34        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:31:35        all      0.00      0.00      0.00      0.00      0.00    100.00
00:31:36        all      1.00      0.00      0.00      0.00      0.00     99.00
00:31:37        all     85.00      0.00      3.50      0.00      0.00     11.50
00:31:38        all     23.62      0.00      2.51      0.50      0.00     73.37
00:31:39        all      0.50      0.00      0.00      0.00      0.00     99.50
00:31:40        all      0.00      0.00      0.00      0.50      0.00     99.50
00:31:41        all      0.00      0.00      0.00      0.00      0.00    100.00
00:31:42        all      0.00      0.00      0.00      0.00      0.00    100.00
00:31:43        all      0.00      0.00      0.00      0.00      0.00    100.00
00:31:44        all      0.00      0.00      0.00      0.00      0.00    100.00
00:31:45        all      0.00      0.00      0.00      1.01      0.00     98.99
00:31:46        all     59.39      0.00      2.54      0.00      0.00     38.07
00:31:47        all     94.47      0.00      2.51      0.00      0.00      3.02
00:31:48        all     95.00      0.00      4.50      0.00      0.00      0.50
00:31:49        all     97.50      0.00      2.50      0.00      0.00      0.00
00:31:50        all     92.50      0.00      5.00      0.00      0.00      2.50
00:31:51        all     96.95      0.00      1.52      0.00      0.00      1.52
00:31:52        all     16.92      0.00      1.49      0.00      0.00     81.59
00:31:53        all      0.00      0.00      0.00      0.00      0.00    100.00
00:31:54        all      0.00      0.00      0.00      0.00      0.00    100.00
00:31:55        all      0.00      0.00      0.00      0.50      0.00     99.50
00:31:56        all      0.00      0.00      0.00      0.00      0.00    100.00
00:31:57        all      0.00      0.00      0.00      0.00      0.00    100.00
00:31:58        all      0.00      0.00      0.00      0.00      0.00    100.00
00:31:59        all      0.00      0.00      0.00      0.00      0.00    100.00
00:32:00        all      0.00      0.00      0.00      0.00      0.00    100.00
00:32:01        all      0.00      0.00      0.00      0.00      0.00    100.00
00:32:02        all      0.50      0.00      0.00      0.00      0.00     99.50
00:32:03        all      0.00      0.00      0.00      0.00      0.00    100.00
00:32:04        all      0.00      0.00      0.00      0.00      0.00    100.00
00:32:05        all      0.00      0.00      0.00      1.00      0.00     99.00
00:32:06        all      0.00      0.00      0.00      0.00      0.00    100.00
00:32:07        all      0.00      0.00      0.00      0.00      0.00    100.00
00:32:08        all      0.00      0.00      0.00      0.00      0.00    100.00
00:32:09        all      0.00      0.00      0.00      0.00      0.00    100.00
