Linux 4.13.0-19-generic (instance-2) 	12/20/17 	_x86_64_	(2 CPU)

18:00:51        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:00:52        all      0.00      0.00      0.00      0.00      0.00    100.00
18:00:53        all      9.05      0.00      1.01      0.00      0.00     89.95
18:00:54        all     60.40      0.00      1.98     16.34      0.00     21.29
18:00:55        all     63.50      0.00      2.50     17.00      0.00     17.00
18:00:56        all     86.29      0.00      3.55      7.11      0.00      3.05
18:00:57        all     92.50      0.00      4.50      2.50      0.00      0.50
18:00:58        all     95.48      0.00      3.02      0.00      0.00      1.51
18:00:59        all     97.98      0.00      1.01      0.00      0.00      1.01
18:01:00        all     96.00      0.00      1.50      0.00      0.00      2.50
18:01:01        all     96.02      0.00      3.48      0.00      0.00      0.50
18:01:02        all     96.00      0.00      0.50      0.00      0.00      3.50
18:01:03        all     98.50      0.00      1.00      0.00      0.00      0.50
18:01:04        all     94.00      0.00      0.00      0.00      0.00      6.00
18:01:05        all     90.95      0.00      1.51      2.01      0.00      5.53
18:01:06        all     95.48      0.00      3.02      0.00      0.00      1.51
18:01:07        all     89.95      0.00      3.02      0.00      0.00      7.04
18:01:08        all     53.47      0.00      2.97      0.00      0.00     43.56
18:01:09        all      0.00      0.00      0.00      0.00      0.00    100.00
18:01:10        all      0.00      0.00      0.00      0.00      0.00    100.00
18:01:11        all      0.00      0.00      0.50      0.00      0.00     99.50
18:01:12        all      0.00      0.00      0.00      0.50      0.00     99.50
18:01:13        all      0.00      0.00      0.00      0.00      0.00    100.00
