Linux 4.13.0-19-generic (instance-2) 	12/20/17 	_x86_64_	(2 CPU)

05:11:45        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:11:46        all      0.00      0.00      0.00      0.00      0.00    100.00
05:11:47        all      0.00      0.00      0.00      0.00      0.00    100.00
05:11:48        all     46.63      0.00      3.11     21.76      0.00     28.50
05:11:49        all      3.98      0.00      1.00     36.82      0.00     58.21
05:11:50        all     10.00      0.00      0.00     42.00      0.00     48.00
05:11:51        all     49.25      0.00      2.99     17.91      0.00     29.85
05:11:52        all     77.27      0.00      3.03     15.15      0.00      4.55
05:11:53        all     91.09      0.00      4.95      2.97      0.00      0.99
05:11:54        all     95.50      0.00      2.00      0.00      0.00      2.50
05:11:55        all     96.50      0.00      1.50      0.50      0.00      1.50
05:11:56        all     91.54      0.00      1.99      1.99      0.00      4.48
05:11:57        all     76.53      0.00      1.53      0.00      0.00     21.94
05:11:58        all     69.15      0.00      2.49      1.00      0.00     27.36
05:11:59        all     92.46      0.00      2.01      0.00      0.00      5.53
05:12:00        all     97.50      0.00      0.00      0.00      0.00      2.50
05:12:01        all     63.82      0.00      0.50      0.00      0.00     35.68
05:12:02        all     75.00      0.00      0.50      0.00      0.00     24.50
05:12:03        all     95.98      0.00      0.50      0.00      0.00      3.52
05:12:04        all     88.50      0.00      0.50      0.00      0.00     11.00
05:12:05        all     96.00      0.00      0.00      0.00      0.00      4.00
05:12:06        all     96.48      0.00      3.02      0.00      0.00      0.50
05:12:07        all     99.50      0.00      0.50      0.00      0.00      0.00
05:12:08        all    100.00      0.00      0.00      0.00      0.00      0.00
05:12:09        all     99.01      0.00      0.50      0.00      0.00      0.50
05:12:10        all    100.00      0.00      0.00      0.00      0.00      0.00
05:12:11        all     97.00      0.00      1.00      0.00      0.00      2.00
05:12:12        all     98.00      0.00      0.50      0.00      0.00      1.50
05:12:13        all     96.48      0.00      2.51      0.00      0.00      1.01
05:12:14        all     99.50      0.00      0.50      0.00      0.00      0.00
05:12:15        all     99.50      0.00      0.50      0.00      0.00      0.00
05:12:16        all     99.00      0.00      0.50      0.00      0.00      0.50
05:12:17        all     99.50      0.00      0.50      0.00      0.00      0.00
05:12:18        all    100.00      0.00      0.00      0.00      0.00      0.00
05:12:19        all     95.52      0.00      2.99      0.00      0.00      1.49
05:12:20        all     98.50      0.00      0.00      0.00      0.00      1.50
05:12:21        all    100.00      0.00      0.00      0.00      0.00      0.00
05:12:22        all    100.00      0.00      0.00      0.00      0.00      0.00
05:12:23        all     99.50      0.00      0.50      0.00      0.00      0.00
05:12:24        all     99.50      0.00      0.50      0.00      0.00      0.00
05:12:25        all     99.50      0.00      0.00      0.00      0.00      0.50
05:12:26        all     97.00      0.00      2.00      0.00      0.00      1.00
05:12:27        all     98.99      0.00      0.50      0.00      0.00      0.50
05:12:28        all     99.00      0.00      0.50      0.00      0.00      0.50
05:12:29        all    100.00      0.00      0.00      0.00      0.00      0.00
05:12:30        all     99.50      0.00      0.50      0.00      0.00      0.00
05:12:31        all     96.98      0.00      2.51      0.00      0.00      0.50
05:12:32        all     98.50      0.00      0.50      0.00      0.00      1.00
05:12:33        all     97.01      0.00      0.50      0.00      0.00      2.49
05:12:34        all     99.50      0.00      0.00      0.00      0.00      0.50
05:12:35        all     97.50      0.00      2.00      0.00      0.00      0.50
05:12:36        all     99.50      0.00      0.00      0.00      0.00      0.50
05:12:37        all    100.00      0.00      0.00      0.00      0.00      0.00
05:12:38        all    100.00      0.00      0.00      0.00      0.00      0.00
05:12:39        all    100.00      0.00      0.00      0.00      0.00      0.00
05:12:40        all     99.00      0.00      0.50      0.00      0.00      0.50
05:12:41        all    100.00      0.00      0.00      0.00      0.00      0.00
05:12:42        all     99.00      0.00      1.00      0.00      0.00      0.00
05:12:43        all    100.00      0.00      0.00      0.00      0.00      0.00
05:12:44        all     99.50      0.00      0.50      0.00      0.00      0.00
05:12:45        all     95.50      0.00      2.50      0.00      0.00      2.00
05:12:46        all    100.00      0.00      0.00      0.00      0.00      0.00
05:12:47        all     96.50      0.00      0.50      0.00      0.00      3.00
05:12:48        all     99.50      0.00      0.00      0.00      0.00      0.50
05:12:49        all     98.00      0.00      1.00      0.00      0.00      1.00
05:12:50        all     99.50      0.00      0.50      0.00      0.00      0.00
05:12:51        all     99.00      0.00      0.50      0.00      0.00      0.50
05:12:52        all     99.00      0.00      0.50      0.00      0.00      0.50
05:12:53        all     99.00      0.00      0.50      0.00      0.00      0.50
05:12:54        all     99.50      0.00      0.00      0.00      0.00      0.50
05:12:55        all     99.00      0.00      0.50      0.00      0.00      0.50
05:12:56        all     99.50      0.00      0.50      0.00      0.00      0.00
05:12:57        all     98.50      0.00      1.50      0.00      0.00      0.00
05:12:58        all    100.00      0.00      0.00      0.00      0.00      0.00
05:12:59        all     97.50      0.00      2.50      0.00      0.00      0.00
05:13:00        all     98.00      0.00      0.00      0.00      0.00      2.00
05:13:01        all     99.00      0.00      1.00      0.00      0.00      0.00
05:13:02        all    100.00      0.00      0.00      0.00      0.00      0.00
05:13:03        all     96.00      0.00      0.00      0.00      0.00      4.00
05:13:04        all     99.50      0.00      0.50      0.00      0.00      0.00
05:13:05        all     99.50      0.00      0.50      0.00      0.00      0.00
05:13:06        all    100.00      0.00      0.00      0.00      0.00      0.00
05:13:07        all     99.00      0.00      0.50      0.00      0.00      0.50
05:13:08        all     98.99      0.00      0.50      0.00      0.00      0.50
05:13:09        all    100.00      0.00      0.00      0.00      0.00      0.00
05:13:10        all     99.00      0.00      0.50      0.00      0.00      0.50
05:13:11        all    100.00      0.00      0.00      0.00      0.00      0.00
05:13:12        all     99.00      0.00      0.50      0.00      0.00      0.50
05:13:13        all     99.00      0.00      1.00      0.00      0.00      0.00
05:13:14        all     99.50      0.00      0.00      0.00      0.00      0.50
05:13:15        all     98.49      0.00      1.01      0.00      0.00      0.50
05:13:16        all     99.00      0.00      0.50      0.00      0.00      0.50
05:13:17        all     98.51      0.00      1.00      0.00      0.00      0.50
05:13:18        all     98.50      0.00      1.50      0.00      0.00      0.00
05:13:19        all     99.00      0.00      0.50      0.00      0.00      0.50
05:13:20        all     98.49      0.00      0.50      0.00      0.00      1.01
05:13:21        all     99.50      0.00      0.50      0.00      0.00      0.00
05:13:22        all     96.00      0.00      0.00      0.00      0.00      4.00
05:13:23        all     99.00      0.00      1.00      0.00      0.00      0.00
05:13:24        all     99.00      0.00      0.50      0.00      0.00      0.50
05:13:25        all     98.99      0.00      0.50      0.00      0.00      0.50
05:13:26        all     98.00      0.00      0.50      0.00      0.00      1.50
05:13:27        all     98.99      0.00      0.00      0.00      0.00      1.01
05:13:28        all     99.50      0.00      0.50      0.00      0.00      0.00
05:13:29        all     98.99      0.00      0.51      0.00      0.00      0.51
05:13:30        all     99.50      0.00      0.50      0.00      0.00      0.00
05:13:31        all     98.50      0.00      0.50      0.00      0.00      1.00
05:13:32        all     99.50      0.00      0.00      0.00      0.00      0.50
05:13:33        all     98.50      0.00      1.00      0.00      0.00      0.50
05:13:34        all     99.50      0.00      0.50      0.00      0.00      0.00
05:13:35        all     97.00      0.00      2.50      0.00      0.00      0.50
05:13:36        all     99.50      0.00      0.50      0.00      0.00      0.00
05:13:37        all     97.00      0.00      1.50      0.00      0.00      1.50
05:13:38        all     99.50      0.00      0.50      0.00      0.00      0.00
05:13:39        all    100.00      0.00      0.00      0.00      0.00      0.00
05:13:40        all    100.00      0.00      0.00      0.00      0.00      0.00
05:13:41        all     91.50      0.00      0.00      0.00      0.00      8.50
05:13:42        all    100.00      0.00      0.00      0.00      0.00      0.00
05:13:43        all    100.00      0.00      0.00      0.00      0.00      0.00
