Linux 4.13.0-19-generic (instance-2) 	12/20/17 	_x86_64_	(2 CPU)

05:02:18        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:02:19        all      0.00      0.00      0.00      0.00      0.00    100.00
05:02:20        all      0.50      0.00      0.50      0.00      0.00     99.00
05:02:21        all     89.45      0.00      5.53      0.00      0.00      5.03
05:02:22        all     91.96      0.00      5.03      0.00      0.00      3.02
05:02:23        all     97.00      0.00      3.00      0.00      0.00      0.00
05:02:24        all     97.98      0.00      1.52      0.00      0.00      0.51
05:02:25        all     93.50      0.00      5.00      0.00      0.00      1.50
05:02:26        all     97.50      0.00      1.00      0.00      0.00      1.50
05:02:27        all     98.50      0.00      1.00      0.00      0.00      0.50
05:02:28        all     96.00      0.00      2.00      0.00      0.00      2.00
05:02:29        all     98.50      0.00      1.50      0.00      0.00      0.00
05:02:30        all     95.50      0.00      3.00      0.00      0.00      1.50
05:02:31        all     98.49      0.00      0.00      0.00      0.00      1.51
05:02:32        all     84.00      0.00      2.50      0.00      0.00     13.50
05:02:33        all     88.94      0.00      0.50      0.00      0.00     10.55
05:02:34        all     93.03      0.00      1.00      0.00      0.00      5.97
05:02:35        all     87.56      0.00      2.99      0.00      0.00      9.45
05:02:36        all     84.92      0.00      0.50      0.00      0.00     14.57
05:02:37        all     56.28      0.00      0.50      0.00      0.00     43.22
05:02:38        all     62.12      0.00      0.51      0.00      0.00     37.37
05:02:39        all     66.50      0.00      1.50      0.50      0.00     31.50
05:02:40        all     60.00      0.00      0.00      0.00      0.00     40.00
05:02:41        all     54.77      0.00      1.01      0.00      0.00     44.22
05:02:42        all     53.96      0.00      0.50      0.00      0.00     45.54
05:02:43        all     74.00      0.00      1.00      0.00      0.00     25.00
05:02:44        all     98.00      0.00      0.50      0.00      0.00      1.50
05:02:45        all    100.00      0.00      0.00      0.00      0.00      0.00
05:02:46        all     77.11      0.00      0.50      0.00      0.00     22.39
05:02:47        all     88.00      0.00      0.50      0.00      0.00     11.50
05:02:48        all     73.37      0.00      0.00      0.00      0.00     26.63
05:02:49        all     91.50      0.00      0.00      0.00      0.00      8.50
05:02:50        all     97.50      0.00      0.00      0.00      0.00      2.50
05:02:51        all     78.11      0.00      0.50      0.00      0.00     21.39
05:02:52        all     97.49      0.00      2.51      0.00      0.00      0.00
05:02:53        all    100.00      0.00      0.00      0.00      0.00      0.00
05:02:54        all     84.00      0.00      0.50      0.00      0.00     15.50
05:02:55        all    100.00      0.00      0.00      0.00      0.00      0.00
05:02:56        all     99.00      0.00      0.00      0.00      0.00      1.00
05:02:57        all     96.00      0.00      0.50      0.00      0.00      3.50
