Linux 4.13.0-19-generic (instance-2) 	12/20/17 	_x86_64_	(2 CPU)

07:38:34        CPU     %user     %nice   %system   %iowait    %steal     %idle
07:38:35        all      0.00      0.00      0.00      0.00      0.00    100.00
07:38:36        all      0.00      0.00      0.00      0.00      0.00    100.00
07:38:37        all     67.00      0.00      4.50      0.50      0.00     28.00
07:38:38        all     95.98      0.00      2.51      0.00      0.00      1.51
07:38:39        all     94.50      0.00      5.50      0.00      0.00      0.00
07:38:40        all     95.54      0.00      3.47      0.00      0.00      0.99
07:38:41        all     95.96      0.00      2.53      0.00      0.00      1.52
07:38:42        all     98.51      0.00      0.50      0.00      0.00      1.00
07:38:43        all     98.00      0.00      1.50      0.00      0.00      0.50
07:38:44        all     99.50      0.00      0.50      0.00      0.00      0.00
07:38:45        all     98.99      0.00      0.50      0.00      0.00      0.50
07:38:46        all     98.50      0.00      1.00      0.00      0.00      0.50
07:38:47        all     92.46      0.00      1.01      0.00      0.00      6.53
07:38:48        all     97.51      0.00      2.49      0.00      0.00      0.00
07:38:49        all     89.50      0.00      0.50      0.00      0.00     10.00
07:38:50        all     79.90      0.00      1.51      0.00      0.00     18.59
07:38:51        all     76.62      0.00      0.50      0.00      0.00     22.89
07:38:52        all     74.37      0.00      1.51      0.00      0.00     24.12
07:38:53        all     57.29      0.00      1.01      0.00      0.00     41.71
07:38:54        all     53.73      0.00      1.49      0.00      0.00     44.78
07:38:55        all     63.32      0.00      0.50      0.00      0.00     36.18
07:38:56        all     54.27      0.00      0.00      0.00      0.00     45.73
07:38:57        all     54.00      0.00      0.00      0.00      0.00     46.00
07:38:58        all     69.15      0.00      1.00      0.00      0.00     29.85
07:38:59        all     98.99      0.00      0.50      0.00      0.00      0.50
07:39:00        all     88.06      0.00      0.50      0.00      0.00     11.44
07:39:01        all     66.00      0.00      0.00      0.00      0.00     34.00
07:39:02        all     90.95      0.00      0.00      0.00      0.00      9.05
07:39:03        all     86.00      0.00      1.50      0.00      0.00     12.50
07:39:04        all     85.43      0.00      0.50      0.00      0.00     14.07
07:39:05        all     93.00      0.00      0.00      0.00      0.00      7.00
07:39:06        all    100.00      0.00      0.00      0.00      0.00      0.00
07:39:07        all     95.00      0.00      0.00      0.00      0.00      5.00
07:39:08        all    100.00      0.00      0.00      0.00      0.00      0.00
07:39:09        all     92.54      0.00      0.50      0.00      0.00      6.97
07:39:10        all    100.00      0.00      0.00      0.00      0.00      0.00
07:39:11        all     99.50      0.00      0.50      0.00      0.00      0.00
07:39:12        all     98.50      0.00      1.00      0.00      0.00      0.50
07:39:13        all     92.46      0.00      0.00      0.00      0.00      7.54
07:39:14        all    100.00      0.00      0.00      0.00      0.00      0.00
07:39:15        all    100.00      0.00      0.00      0.00      0.00      0.00
07:39:16        all     97.50      0.00      2.00      0.00      0.00      0.50
07:39:17        all     98.49      0.00      1.01      0.00      0.00      0.50
07:39:18        all     89.50      0.00      2.00      0.00      0.00      8.50
07:39:19        all     96.98      0.00      0.50      0.00      0.00      2.51
07:39:20        all     14.50      0.00      2.50      8.50      0.00     74.50
07:39:21        all      0.00      0.00      0.00      0.00      0.00    100.00
07:39:22        all      0.00      0.00      0.00      0.00      0.00    100.00
07:39:23        all      0.00      0.00      0.00      0.50      0.00     99.50
07:39:24        all      0.00      0.00      0.00      0.00      0.00    100.00
07:39:25        all      0.00      0.00      0.00      0.00      0.00    100.00
07:39:26        all      0.00      0.00      0.00      0.00      0.00    100.00
07:39:27        all      0.00      0.00      0.00      0.00      0.00    100.00
