Linux 4.13.0-19-generic (instance-2) 	12/20/17 	_x86_64_	(2 CPU)

23:38:13        CPU     %user     %nice   %system   %iowait    %steal     %idle
23:38:14        all      0.00      0.00      0.00      0.00      0.00    100.00
23:38:15        all      0.00      0.00      0.50      0.00      0.00     99.50
23:38:16        all     25.89      0.00      1.02      0.00      0.00     73.10
23:38:17        all     89.95      0.00      4.52      0.00      0.00      5.53
23:38:18        all     86.43      0.00      5.03      8.54      0.00      0.00
23:38:19        all     92.04      0.00      3.98      3.48      0.00      0.50
23:38:20        all     93.63      0.00      4.41      0.49      0.00      1.47
23:38:21        all     89.23      0.00      2.56      1.54      0.00      6.67
23:38:22        all     92.46      0.00      2.01      0.00      0.00      5.53
23:38:23        all     97.00      0.00      2.50      0.00      0.00      0.50
23:38:24        all     88.38      0.00      1.52      0.00      0.00     10.10
23:38:25        all     31.34      0.00      1.49      4.98      0.00     62.19
23:38:26        all      0.00      0.00      0.00      0.00      0.00    100.00
23:38:27        all      0.00      0.00      0.00      0.00      0.00    100.00
23:38:28        all      0.00      0.00      0.00      0.00      0.00    100.00
23:38:29        all      0.00      0.00      0.00      0.00      0.00    100.00
23:38:30        all      0.00      0.00      0.00      0.00      0.00    100.00
23:38:31        all      0.00      0.00      0.00      0.00      0.00    100.00
23:38:32        all      0.00      0.00      0.00      0.00      0.00    100.00
23:38:33        all      1.00      0.00      0.50     24.88      0.00     73.63
23:38:34        all     80.40      0.00      3.52      3.52      0.00     12.56
23:38:35        all     90.55      0.00      2.99      3.98      0.00      2.49
23:38:36        all     91.96      0.00      2.51      4.02      0.00      1.51
23:38:37        all     93.47      0.00      1.51      4.02      0.00      1.01
23:38:38        all     91.46      0.00      2.01      5.03      0.00      1.51
23:38:39        all     87.06      0.00      1.00      1.49      0.00     10.45
23:38:40        all     84.50      0.00      4.50      4.50      0.00      6.50
23:38:41        all     98.99      0.00      1.01      0.00      0.00      0.00
23:38:42        all     88.00      0.00      2.50      0.00      0.00      9.50
23:38:43        all     76.00      0.00      4.50      0.00      0.00     19.50
23:38:44        all     97.50      0.00      2.50      0.00      0.00      0.00
23:38:45        all     70.79      0.00      0.99      0.00      0.00     28.22
23:38:46        all     73.13      0.00      3.98      0.00      0.00     22.89
23:38:47        all     76.26      0.00      0.00      0.00      0.00     23.74
23:38:48        all     60.70      0.00      3.98      4.98      0.00     30.35
23:38:49        all     64.50      0.00      0.00      0.00      0.00     35.50
23:38:50        all     71.21      0.00      1.52      0.00      0.00     27.27
23:38:51        all     50.25      0.00      0.50      0.00      0.00     49.25
23:38:52        all     52.00      0.00      0.00      0.50      0.00     47.50
23:38:53        all     95.02      0.00      1.00      0.00      0.00      3.98
23:38:54        all     55.00      0.00      0.00      2.50      0.00     42.50
23:38:55        all     52.00      0.00      0.00      0.00      0.00     48.00
23:38:56        all     81.82      0.00      1.01      1.01      0.00     16.16
23:38:57        all     97.49      0.00      1.01      0.00      0.00      1.51
23:38:58        all     90.95      0.00      0.00      0.00      0.00      9.05
23:38:59        all     87.50      0.00      0.00      0.00      0.00     12.50
23:39:00        all     91.50      0.00      0.50      0.00      0.00      8.00
23:39:01        all     83.00      0.00      0.00      0.00      0.00     17.00
23:39:02        all    100.00      0.00      0.00      0.00      0.00      0.00
23:39:03        all     93.97      0.00      1.51      0.00      0.00      4.52
23:39:04        all     94.53      0.00      0.00      0.00      0.00      5.47
23:39:05        all     94.00      0.00      0.50      0.00      0.00      5.50
23:39:06        all     99.50      0.00      0.50      0.00      0.00      0.00
23:39:07        all     97.99      0.00      0.00      0.00      0.00      2.01
23:39:08        all     99.50      0.00      0.50      0.00      0.00      0.00
23:39:09        all     96.48      0.00      2.01      0.00      0.00      1.51
23:39:10        all     98.49      0.00      0.50      0.00      0.00      1.01
23:39:11        all     90.00      0.00      1.50      0.00      0.00      8.50
23:39:12        all     72.50      0.00      3.00      1.00      0.00     23.50
23:39:13        all      0.00      0.00      0.00      0.00      0.00    100.00
23:39:14        all      0.00      0.00      0.00      0.00      0.00    100.00
23:39:15        all      0.00      0.00      0.00      0.00      0.00    100.00
23:39:16        all      0.00      0.00      0.00      0.00      0.00    100.00
23:39:17        all      0.00      0.00      0.00      0.00      0.00    100.00
23:39:18        all      0.00      0.00      0.00      0.00      0.00    100.00
23:39:19        all      0.00      0.00      0.00      0.00      0.00    100.00
