Linux 4.13.0-19-generic (instance-2) 	12/20/17 	_x86_64_	(2 CPU)

18:19:01        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:19:02        all      0.00      0.00      0.00      0.00      0.00    100.00
18:19:03        all      1.00      0.00      0.00      1.00      0.00     98.00
18:19:04        all     84.42      0.00      6.03      0.00      0.00      9.55
18:19:05        all     94.97      0.00      4.02      0.00      0.00      1.01
18:19:06        all     97.99      0.00      2.01      0.00      0.00      0.00
18:19:07        all     95.98      0.00      3.02      0.00      0.00      1.01
18:19:08        all     93.07      0.00      2.97      0.00      0.00      3.96
18:19:09        all     97.50      0.00      2.00      0.00      0.00      0.50
18:19:10        all     95.98      0.00      1.01      0.00      0.00      3.02
18:19:11        all     96.00      0.00      1.00      0.00      0.00      3.00
18:19:12        all     97.49      0.00      2.01      0.00      0.00      0.50
18:19:13        all     88.00      0.00      1.50      0.00      0.00     10.50
18:19:14        all     97.00      0.00      2.50      0.00      0.00      0.50
18:19:15        all     98.99      0.00      0.50      0.00      0.00      0.50
18:19:16        all     95.00      0.00      0.50      0.00      0.00      4.50
18:19:17        all     96.00      0.00      1.00      0.00      0.00      3.00
18:19:18        all     99.00      0.00      0.00      0.00      0.00      1.00
18:19:19        all     95.48      0.00      3.02      0.00      0.00      1.51
18:19:20        all     87.44      0.00      3.52      0.00      0.00      9.05
18:19:21        all      3.02      0.00      1.51      0.00      0.00     95.48
18:19:22        all      0.00      0.00      0.00      0.00      0.00    100.00
18:19:23        all      0.00      0.00      0.00      0.50      0.00     99.50
18:19:24        all      0.00      0.00      0.00      0.00      0.00    100.00
18:19:25        all      0.00      0.00      0.00      0.00      0.00    100.00
18:19:26        all      0.00      0.00      0.00      0.00      0.00    100.00
18:19:27        all      0.50      0.00      0.00      0.00      0.00     99.50
18:19:28        all      0.00      0.00      0.00      0.00      0.00    100.00
18:19:29        all     78.28      0.00      4.04      0.00      0.00     17.68
18:19:30        all     93.94      0.00      4.04      0.00      0.00      2.02
18:19:31        all     95.50      0.00      3.50      0.00      0.00      1.00
18:19:32        all     96.50      0.00      2.00      0.00      0.00      1.50
18:19:33        all     95.98      0.00      3.02      0.00      0.00      1.01
18:19:34        all     98.01      0.00      1.99      0.00      0.00      0.00
18:19:35        all     98.49      0.00      1.01      0.00      0.00      0.50
18:19:36        all     97.51      0.00      2.49      0.00      0.00      0.00
18:19:37        all     95.48      0.00      0.50      0.00      0.00      4.02
18:19:38        all     98.01      0.00      1.99      0.00      0.00      0.00
18:19:39        all     98.49      0.00      0.00      0.00      0.00      1.51
18:19:40        all     95.50      0.00      2.00      0.00      0.00      2.50
18:19:41        all     71.64      0.00      1.49      0.00      0.00     26.87
18:19:42        all     67.00      0.00      1.50      0.00      0.00     31.50
18:19:43        all     51.00      0.00      2.50      0.50      0.00     46.00
18:19:44        all     53.23      0.00      1.00      0.00      0.00     45.77
18:19:45        all     50.75      0.00      2.01      0.00      0.00     47.24
18:19:46        all     56.50      0.00      0.50      0.00      0.00     43.00
18:19:47        all     56.28      0.00      0.00      0.00      0.00     43.72
18:19:48        all     66.00      0.00      0.00      0.00      0.00     34.00
18:19:49        all     52.74      0.00      0.00      0.00      0.00     47.26
18:19:50        all     52.50      0.00      0.00      0.00      0.00     47.50
18:19:51        all     52.74      0.00      0.50      0.00      0.00     46.77
18:19:52        all     52.00      0.00      0.00      0.00      0.00     48.00
18:19:53        all     76.88      0.00      2.01      0.50      0.00     20.60
18:19:54        all     98.50      0.00      1.00      0.00      0.00      0.50
18:19:55        all     94.06      0.00      1.49      0.00      0.00      4.46
18:19:56        all     44.00      0.00      4.00      0.00      0.00     52.00
18:19:57        all      0.00      0.00      0.00      0.00      0.00    100.00
18:19:58        all      0.00      0.00      0.50      0.00      0.00     99.50
18:19:59        all      0.00      0.00      0.00      0.00      0.00    100.00
18:20:00        all      0.00      0.00      0.50      0.00      0.00     99.50
18:20:01        all      0.00      0.00      0.00      0.00      0.00    100.00
18:20:02        all      0.00      0.00      0.00      0.00      0.00    100.00
18:20:03        all      0.00      0.00      0.00      1.50      0.00     98.50
18:20:04        all      0.50      0.00      0.00      0.00      0.00     99.50
18:20:05        all      0.00      0.00      0.00      0.00      0.00    100.00
18:20:06        all      0.00      0.00      0.00      0.00      0.00    100.00
18:20:07        all      0.00      0.00      0.00      0.00      0.00    100.00
18:20:08        all      0.00      0.00      0.00      0.00      0.00    100.00
18:20:09        all      0.00      0.00      0.00      0.00      0.00    100.00
18:20:10        all      0.00      0.00      0.00      0.00      0.00    100.00
18:20:11        all      0.00      0.00      0.00      0.00      0.00    100.00
18:20:12        all      0.00      0.00      0.00      0.00      0.00    100.00
18:20:13        all      0.00      0.00      0.00      0.50      0.00     99.50
18:20:14        all      0.00      0.00      0.00      0.00      0.00    100.00
