Linux 4.13.0-19-generic (instance-2) 	12/18/17 	_x86_64_	(2 CPU)

07:21:16        CPU     %user     %nice   %system   %iowait    %steal     %idle
07:21:17        all      0.00      0.00      0.00      0.00      0.00    100.00
07:21:18        all      0.00      0.00      0.00     22.11      0.00     77.89
07:21:19        all      1.02      0.00      1.02     18.27      0.00     79.70
07:21:20        all      2.02      0.00      0.00     48.99      0.00     48.99
07:21:21        all      6.00      0.00      0.50     44.00      0.00     49.50
07:21:22        all     20.79      0.00      1.49     35.64      0.00     42.08
07:21:23        all      5.53      0.00      1.51     48.24      0.00     44.72
07:21:24        all     11.79      0.00      0.51     34.36      0.00     53.33
07:21:25        all     21.50      0.00      1.00     33.50      0.00     44.00
07:21:26        all     31.86      0.00      1.47     32.35      0.00     34.31
07:21:27        all     88.32      0.00      2.54      7.61      0.00      1.52
07:21:28        all     94.06      0.00      1.98      3.47      0.00      0.50
07:21:29        all     94.50      0.00      1.00      2.00      0.00      2.50
07:21:30        all     97.99      0.00      1.51      0.00      0.00      0.50
07:21:31        all     98.50      0.00      0.50      1.00      0.00      0.00
07:21:32        all     95.50      0.00      1.50      0.00      0.00      3.00
07:21:33        all     91.54      0.00      1.49      0.00      0.00      6.97
07:21:34        all     98.49      0.00      0.50      0.00      0.00      1.01
07:21:35        all     66.33      0.00      0.50      0.00      0.00     33.17
07:21:36        all     78.00      0.00      1.00      0.00      0.00     21.00
07:21:37        all     87.00      0.00      1.00      0.00      0.00     12.00
07:21:38        all     61.50      0.00      0.50      0.00      0.00     38.00
07:21:39        all     56.78      0.00      1.51      6.53      0.00     35.18
07:21:40        all     51.50      0.00      0.50      0.00      0.00     48.00
07:21:41        all     52.50      0.00      0.50      0.00      0.00     47.00
07:21:42        all     68.84      0.00      1.01      0.00      0.00     30.15
07:21:43        all     62.50      0.00      0.00      0.00      0.00     37.50
07:21:44        all     52.00      0.00      1.00      0.50      0.00     46.50
07:21:45        all     65.00      0.00      0.00      0.00      0.00     35.00
07:21:46        all     62.00      0.00      0.00      0.00      0.00     38.00
07:21:47        all     52.26      0.00      0.00      0.00      0.00     47.74
07:21:48        all     53.50      0.00      0.00      0.00      0.00     46.50
07:21:49        all     57.79      0.00      0.50      0.00      0.00     41.71
07:21:50        all     81.00      0.00      0.50      0.00      0.00     18.50
07:21:51        all     59.00      0.00      2.00     15.00      0.00     24.00
07:21:52        all     99.49      0.00      0.00      0.00      0.00      0.51
07:21:53        all     87.00      0.00      0.00      0.00      0.00     13.00
07:21:54        all     97.01      0.00      0.50      1.99      0.00      0.50
07:21:55        all     85.00      0.00      0.50      0.00      0.00     14.50
07:21:56        all     95.98      0.00      0.00      0.00      0.00      4.02
07:21:57        all     89.50      0.00      1.00      0.00      0.00      9.50
07:21:58        all     95.00      0.00      0.50      0.00      0.00      4.50
07:21:59        all     98.50      0.00      0.50      0.00      0.00      1.00
07:22:00        all     99.00      0.00      0.50      0.00      0.00      0.50
07:22:01        all     99.50      0.00      0.50      0.00      0.00      0.00
07:22:02        all     97.99      0.00      0.00      0.00      0.00      2.01
07:22:03        all     98.00      0.00      0.50      0.00      0.00      1.50
07:22:04        all     86.93      0.00      0.00      0.00      0.00     13.07
07:22:05        all     97.50      0.00      0.00      0.00      0.00      2.50
07:22:06        all     99.50      0.00      0.50      0.00      0.00      0.00
07:22:07        all     98.00      0.00      0.00      0.00      0.00      2.00
07:22:08        all     95.50      0.00      0.50      0.00      0.00      4.00
07:22:09        all    100.00      0.00      0.00      0.00      0.00      0.00
07:22:10        all     99.50      0.00      0.50      0.00      0.00      0.00
07:22:11        all     99.50      0.00      0.00      0.00      0.00      0.50
07:22:12        all     99.50      0.00      0.50      0.00      0.00      0.00
07:22:13        all     77.50      0.00      1.50      0.00      0.00     21.00
07:22:14        all     93.00      0.00      0.00      0.00      0.00      7.00
07:22:15        all     95.50      0.00      0.50      0.00      0.00      4.00
07:22:16        all    100.00      0.00      0.00      0.00      0.00      0.00
07:22:17        all     97.51      0.00      0.50      0.00      0.00      1.99
07:22:18        all    100.00      0.00      0.00      0.00      0.00      0.00
07:22:19        all     94.97      0.00      0.00      0.00      0.00      5.03
07:22:20        all     99.50      0.00      0.00      0.00      0.00      0.50
07:22:21        all     97.00      0.00      0.00      0.00      0.00      3.00
07:22:22        all    100.00      0.00      0.00      0.00      0.00      0.00
07:22:23        all    100.00      0.00      0.00      0.00      0.00      0.00
07:22:24        all    100.00      0.00      0.00      0.00      0.00      0.00
07:22:25        all    100.00      0.00      0.00      0.00      0.00      0.00
07:22:26        all    100.00      0.00      0.00      0.00      0.00      0.00
07:22:27        all     85.43      0.00      0.50      5.03      0.00      9.05
07:22:28        all     95.98      0.00      2.01      1.51      0.00      0.50
07:22:29        all     97.03      0.00      1.98      0.00      0.00      0.99
07:22:30        all     91.00      0.00      1.00      0.50      0.00      7.50
07:22:31        all     97.24      0.00      1.84      0.00      0.00      0.92
07:22:32        all     55.00      0.00      0.56     17.22      0.00     27.22
07:22:33        all     52.26      0.00      2.01      6.03      0.00     39.70
07:22:34        all      0.00      0.00      0.00      0.50      0.00     99.50
07:22:35        all      0.00      0.00      0.00      0.00      0.00    100.00
07:22:36        all      0.00      0.00      0.00      0.00      0.00    100.00
07:22:37        all      0.00      0.00      0.00      0.00      0.00    100.00
07:22:38        all      0.00      0.00      0.00      0.00      0.00    100.00
07:22:39        all      0.00      0.00      0.00      0.50      0.00     99.50
07:22:40        all      0.00      0.00      0.00      0.00      0.00    100.00
