Linux 4.13.0-19-generic (instance-2) 	12/20/17 	_x86_64_	(2 CPU)

18:34:46        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:34:47        all      0.00      0.00      0.00      0.00      0.00    100.00
18:34:48        all      3.48      0.00      0.50      0.00      0.00     96.02
18:34:49        all     49.25      0.00      2.01      8.54      0.00     40.20
18:34:50        all     24.24      0.00      1.52     20.71      0.00     53.54
18:34:51        all     73.47      0.00      3.57     15.82      0.00      7.14
18:34:52        all     89.95      0.00      3.52      5.03      0.00      1.51
18:34:53        all     90.45      0.00      2.01      0.00      0.00      7.54
18:34:54        all     90.95      0.00      1.01      0.00      0.00      8.04
18:34:55        all     88.00      0.00      1.50      0.00      0.00     10.50
18:34:56        all     90.05      0.00      2.99      2.99      0.00      3.98
18:34:57        all     88.38      0.00      1.01      0.00      0.00     10.61
18:34:58        all     92.46      0.00      0.00      0.00      0.00      7.54
18:34:59        all     95.52      0.00      2.49      0.00      0.00      1.99
18:35:00        all     74.13      0.00      1.49      0.00      0.00     24.38
18:35:01        all     64.14      0.00      1.52      0.00      0.00     34.34
18:35:02        all     84.00      0.00      2.50      0.00      0.00     13.50
18:35:03        all     97.51      0.00      0.50      0.00      0.00      1.99
18:35:04        all     69.50      0.00      0.50      0.00      0.00     30.00
18:35:05        all     50.75      0.00      1.51      0.00      0.00     47.74
18:35:06        all     55.50      0.00      0.50      0.00      0.00     44.00
18:35:07        all     51.00      0.00      0.50      1.00      0.00     47.50
18:35:08        all     64.50      0.00      0.50      0.00      0.00     35.00
18:35:09        all     82.50      0.00      0.50      0.00      0.00     17.00
18:35:10        all     53.00      0.00      0.00      0.00      0.00     47.00
18:35:11        all     58.50      0.00      0.00      0.00      0.00     41.50
18:35:12        all     51.76      0.00      0.50      0.00      0.00     47.74
18:35:13        all     68.00      0.00      0.00      0.00      0.00     32.00
18:35:14        all     94.03      0.00      0.00      0.00      0.00      5.97
18:35:15        all     89.55      0.00      0.00      0.00      0.00     10.45
18:35:16        all     83.84      0.00      0.00      0.00      0.00     16.16
18:35:17        all     74.37      0.00      1.01      2.51      0.00     22.11
18:35:18        all     97.98      0.00      1.01      0.00      0.00      1.01
18:35:19        all     95.52      0.00      0.50      0.00      0.00      3.98
18:35:20        all     74.00      0.00      0.00      0.00      0.00     26.00
18:35:21        all     87.00      0.00      0.50      0.00      0.00     12.50
18:35:22        all     92.50      0.00      0.00      0.00      0.00      7.50
18:35:23        all     87.50      0.00      0.50      0.00      0.00     12.00
18:35:24        all     93.50      0.00      0.50      0.00      0.00      6.00
18:35:25        all     87.50      0.00      0.50      0.00      0.00     12.00
18:35:26        all     90.95      0.00      0.50      0.00      0.00      8.54
18:35:27        all     89.50      0.00      0.00      0.00      0.00     10.50
18:35:28        all     91.00      0.00      0.00      0.00      0.00      9.00
18:35:29        all    100.00      0.00      0.00      0.00      0.00      0.00
18:35:30        all     94.53      0.00      0.50      0.00      0.00      4.98
18:35:31        all     99.00      0.00      0.00      0.00      0.00      1.00
18:35:32        all     97.49      0.00      0.00      0.00      0.00      2.51
18:35:33        all     89.45      0.00      0.00      0.00      0.00     10.55
18:35:34        all     98.50      0.00      0.50      0.00      0.00      1.00
18:35:35        all     99.50      0.00      0.00      0.00      0.00      0.50
18:35:36        all     98.49      0.00      0.00      0.00      0.00      1.51
18:35:37        all     90.50      0.00      0.00      0.00      0.00      9.50
18:35:38        all     99.50      0.00      0.50      0.00      0.00      0.00
18:35:39        all     95.48      0.00      0.00      0.00      0.00      4.52
18:35:40        all     99.00      0.00      0.50      0.00      0.00      0.50
18:35:41        all     96.52      0.00      2.49      0.00      0.00      1.00
18:35:42        all     97.98      0.00      2.02      0.00      0.00      0.00
18:35:43        all     98.51      0.00      1.00      0.00      0.00      0.50
18:35:44        all     98.00      0.00      2.00      0.00      0.00      0.00
