Linux 4.13.0-19-generic (instance-2) 	12/20/17 	_x86_64_	(2 CPU)

05:05:25        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:05:26        all      0.00      0.00      0.00      0.00      0.00    100.00
05:05:27        all      0.00      0.00      0.00      0.00      0.00    100.00
05:05:28        all      5.00      0.00      0.50      2.00      0.00     92.50
05:05:29        all      0.00      0.00      0.00      0.00      0.00    100.00
05:05:30        all      0.00      0.00      0.00      0.00      0.00    100.00
05:05:31        all      0.00      0.00      0.00      2.01      0.00     97.99
Linux 4.13.0-19-generic (instance-2) 	12/20/17 	_x86_64_	(2 CPU)

05:07:55        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:07:56        all      0.00      0.00      0.00      0.00      0.00    100.00
05:07:57        all     15.15      0.00      0.51      0.00      0.00     84.34
05:07:58        all     94.53      0.00      4.48      0.00      0.00      1.00
05:07:59        all     91.46      0.00      4.52      0.00      0.00      4.02
05:08:00        all     94.95      0.00      3.03      2.02      0.00      0.00
05:08:01        all     95.50      0.00      3.50      0.00      0.00      1.00
05:08:02        all     97.50      0.00      2.00      0.00      0.00      0.50
05:08:03        all     97.00      0.00      2.50      0.00      0.00      0.50
05:08:04        all     98.49      0.00      1.01      0.00      0.00      0.50
05:08:05        all     97.50      0.00      2.00      0.00      0.00      0.50
05:08:06        all     97.51      0.00      1.99      0.00      0.00      0.50
05:08:07        all     96.46      0.00      1.01      0.00      0.00      2.53
05:08:08        all     98.50      0.00      1.00      0.00      0.00      0.50
05:08:09        all     99.50      0.00      0.50      0.00      0.00      0.00
05:08:10        all     93.07      0.00      1.98      0.00      0.00      4.95
05:08:11        all     91.46      0.00      0.50      0.00      0.00      8.04
05:08:12        all     81.00      0.00      1.00      0.00      0.00     18.00
05:08:13        all     74.00      0.00      1.00      0.00      0.00     25.00
05:08:14        all     76.00      0.00      1.00      0.00      0.00     23.00
05:08:15        all     55.72      0.00      1.49      0.00      0.00     42.79
05:08:16        all     69.35      0.00      1.01      0.00      0.00     29.65
05:08:17        all     59.00      0.00      0.50      0.00      0.00     40.50
05:08:18        all     74.00      0.00      0.00      0.00      0.00     26.00
05:08:19        all     55.00      0.00      0.00      0.00      0.00     45.00
05:08:20        all     55.78      0.00      0.00      0.00      0.00     44.22
05:08:21        all     52.24      0.00      0.50      0.00      0.00     47.26
05:08:22        all     52.76      0.00      0.00      0.00      0.00     47.24
05:08:23        all     80.00      0.00      0.00      0.00      0.00     20.00
