Linux 4.13.0-19-generic (instance-2) 	12/21/17 	_x86_64_	(2 CPU)

17:38:59        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:39:00        all      0.00      0.00      0.00      0.00      0.00    100.00
17:39:01        all     13.86      0.00      1.49      0.00      0.00     84.65
17:39:02        all     44.95      0.00      2.02     24.24      0.00     28.79
17:39:03        all      5.05      0.00      0.00     42.42      0.00     52.53
17:39:04        all      7.61      0.00      1.02     24.87      0.00     66.50
17:39:05        all     10.40      0.00      0.99     35.64      0.00     52.97
17:39:06        all     56.44      0.00      2.97     14.36      0.00     26.24
17:39:07        all     59.28      0.00      3.09     12.37      0.00     25.26
17:39:08        all     85.50      0.00      2.00      5.00      0.00      7.50
17:39:09        all     88.67      0.00      5.91      2.96      0.00      2.46
17:39:10        all     91.41      0.00      2.53      0.51      0.00      5.56
17:39:11        all     94.50      0.00      4.00      0.00      0.00      1.50
17:39:12        all     97.00      0.00      2.50      0.00      0.00      0.50
17:39:13        all     97.51      0.00      1.99      0.00      0.00      0.50
17:39:14        all     93.00      0.00      3.50      0.50      0.00      3.00
17:39:15        all     93.47      0.00      0.50      0.00      0.00      6.03
17:39:16        all     95.00      0.00      3.50      0.00      0.00      1.50
17:39:17        all     89.00      0.00      0.50      0.00      0.00     10.50
17:39:18        all     78.50      0.00      2.00      0.00      0.00     19.50
17:39:19        all     84.92      0.00      0.50      0.00      0.00     14.57
17:39:20        all     76.00      0.00      2.00      0.00      0.00     22.00
17:39:21        all     56.72      0.00      0.50      0.00      0.00     42.79
17:39:22        all     62.31      0.00      2.01      0.00      0.00     35.68
17:39:23        all     52.00      0.00      1.00      0.00      0.00     47.00
17:39:24        all     54.00      0.00      0.00      0.00      0.00     46.00
17:39:25        all     52.50      0.00      0.50      0.00      0.00     47.00
17:39:26        all     64.00      0.00      0.00      0.00      0.00     36.00
17:39:27        all     55.78      0.00      0.50      0.00      0.00     43.72
17:39:28        all     77.00      0.00      0.00      0.00      0.00     23.00
17:39:29        all     63.50      0.00      0.00      0.00      0.00     36.50
17:39:30        all     53.50      0.00      0.50      1.00      0.00     45.00
17:39:31        all     53.27      0.00      0.50      0.00      0.00     46.23
17:39:32        all     50.51      0.00      1.01      0.00      0.00     48.48
17:39:33        all     53.73      0.00      0.50      0.00      0.00     45.77
17:39:34        all     67.34      0.00      1.01      4.02      0.00     27.64
17:39:35        all     70.85      0.00      1.51     17.59      0.00     10.05
17:39:36        all     97.49      0.00      0.00      0.50      0.00      2.01
17:39:37        all     70.00      0.00      0.00      0.00      0.00     30.00
17:39:38        all     91.04      0.00      0.00      0.00      0.00      8.96
17:39:39        all     82.00      0.00      2.50      3.50      0.00     12.00
17:39:40        all     76.88      0.00      0.50      6.03      0.00     16.58
17:39:41        all     77.50      0.00      1.00      0.00      0.00     21.50
17:39:42        all     83.50      0.00      0.00      0.00      0.00     16.50
17:39:43        all     63.82      0.00      0.00      0.00      0.00     36.18
17:39:44        all     88.00      0.00      0.50      0.00      0.00     11.50
17:39:45        all     94.00      0.00      0.00      0.00      0.00      6.00
17:39:46        all     99.50      0.00      0.50      0.00      0.00      0.00
17:39:47        all    100.00      0.00      0.00      0.00      0.00      0.00
17:39:48        all     91.50      0.00      0.00      0.00      0.00      8.50
17:39:49        all     94.53      0.00      0.00      0.00      0.00      5.47
17:39:50        all     94.50      0.00      0.50      1.50      0.00      3.50
17:39:51        all    100.00      0.00      0.00      0.00      0.00      0.00
17:39:52        all    100.00      0.00      0.00      0.00      0.00      0.00
17:39:53        all     95.00      0.00      1.50      0.00      0.00      3.50
17:39:54        all     98.51      0.00      0.50      0.00      0.00      1.00
17:39:55        all    100.00      0.00      0.00      0.00      0.00      0.00
17:39:56        all     96.00      0.00      0.50      0.00      0.00      3.50
17:39:57        all     98.00      0.00      0.00      0.00      0.00      2.00
17:39:58        all    100.00      0.00      0.00      0.00      0.00      0.00
17:39:59        all     98.00      0.00      0.00      0.00      0.00      2.00
17:40:00        all     99.50      0.00      0.50      0.00      0.00      0.00
17:40:01        all     96.48      0.00      0.00      0.00      0.00      3.52
17:40:02        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:03        all     71.50      0.00      0.50      0.00      0.00     28.00
17:40:04        all     67.50      0.00      0.00      0.00      0.00     32.50
17:40:05        all     93.00      0.00      0.50      0.00      0.00      6.50
17:40:06        all     96.50      0.00      0.50      0.00      0.00      3.00
17:40:07        all     90.50      0.00      0.00      0.00      0.00      9.50
17:40:08        all     94.47      0.00      0.00      0.00      0.00      5.53
17:40:09        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:10        all     95.50      0.00      0.50      0.00      0.00      4.00
17:40:11        all     74.00      0.00      0.00      0.00      0.00     26.00
17:40:12        all     93.00      0.00      0.00      0.00      0.00      7.00
17:40:13        all     98.50      0.00      0.50      0.00      0.00      1.00
17:40:14        all     76.88      0.00      0.00     16.08      0.00      7.04
17:40:15        all     91.92      0.00      2.02      0.00      0.00      6.06
17:40:16        all     94.50      0.00      3.00      0.00      0.00      2.50
17:40:17        all     69.50      0.00      2.00      0.00      0.00     28.50
17:40:18        all      0.00      0.00      0.00      0.00      0.00    100.00
17:40:19        all      0.00      0.00      0.00      0.00      0.00    100.00
17:40:20        all      0.00      0.00      0.00      2.00      0.00     98.00
17:40:21        all      0.00      0.00      0.50      0.00      0.00     99.50
17:40:22        all      0.00      0.00      0.00      0.00      0.00    100.00
