Linux 4.13.0-19-generic (instance-2) 	12/18/17 	_x86_64_	(2 CPU)

07:54:30        CPU     %user     %nice   %system   %iowait    %steal     %idle
07:54:31        all      0.00      0.00      0.00      0.00      0.00    100.00
07:54:32        all      5.00      0.00      0.50      0.00      0.00     94.50
07:54:33        all     59.80      0.00      3.02      6.03      0.00     31.16
07:54:34        all     35.32      0.00      0.50     17.41      0.00     46.77
07:54:35        all     67.34      0.00      1.01      4.52      0.00     27.14
07:54:36        all     93.03      0.00      4.48      0.00      0.00      2.49
07:54:37        all     94.97      0.00      3.52      0.00      0.00      1.51
07:54:38        all     93.53      0.00      2.49      1.99      0.00      1.99
07:54:39        all     94.47      0.00      1.51      0.00      0.00      4.02
07:54:40        all     95.98      0.00      0.50      0.00      0.00      3.52
07:54:41        all     89.55      0.00      1.00      0.00      0.00      9.45
07:54:42        all     76.26      0.00      1.52      0.00      0.00     22.22
07:54:43        all     92.96      0.00      1.01      0.00      0.00      6.03
07:54:44        all     90.00      0.00      1.00      0.00      0.00      9.00
07:54:45        all     64.00      0.00      2.00      0.00      0.00     34.00
07:54:46        all     51.50      0.00      0.50      0.00      0.00     48.00
07:54:47        all     50.25      0.00      1.51      0.00      0.00     48.24
07:54:48        all     54.00      0.00      0.50      0.00      0.00     45.50
07:54:49        all     50.75      0.00      1.00      0.00      0.00     48.26
07:54:50        all     52.00      0.00      0.00      1.50      0.00     46.50
07:54:51        all     51.50      0.00      0.00      0.00      0.00     48.50
07:54:52        all     53.27      0.00      0.00      0.00      0.00     46.73
07:54:53        all     52.74      0.00      0.50      0.00      0.00     46.77
07:54:54        all     67.00      0.00      0.00      0.00      0.00     33.00
07:54:55        all     51.50      0.00      0.00      0.00      0.00     48.50
07:54:56        all     62.31      0.00      0.00      0.00      0.00     37.69
07:54:57        all     52.00      0.00      0.00      0.00      0.00     48.00
07:54:58        all     59.00      0.00      1.50      8.00      0.00     31.50
07:54:59        all     76.88      0.00      0.50     10.55      0.00     12.06
07:55:00        all     83.08      0.00      0.50      1.49      0.00     14.93
07:55:01        all     59.80      0.00      0.00      4.02      0.00     36.18
07:55:02        all     77.89      0.00      0.50      0.00      0.00     21.61
07:55:03        all     82.91      0.00      0.00      0.00      0.00     17.09
07:55:04        all     75.74      0.00      0.00      0.00      0.00     24.26
07:55:05        all     90.00      0.00      0.00      0.00      0.00     10.00
07:55:06        all     92.46      0.00      1.51      0.00      0.00      6.03
07:55:07        all     83.50      0.00      0.00      0.00      0.00     16.50
07:55:08        all     50.00      0.00      0.00      0.00      0.00     50.00
07:55:09        all     94.50      0.00      0.50      0.00      0.00      5.00
07:55:10        all     97.50      0.00      0.50      0.00      0.00      2.00
07:55:11        all     70.85      0.00      1.01     15.58      0.00     12.56
07:55:12        all     95.00      0.00      1.00      0.00      0.00      4.00
07:55:13        all     21.00      0.00      2.00      4.00      0.00     73.00
07:55:14        all      0.00      0.00      0.00      0.00      0.00    100.00
07:55:15        all      0.00      0.00      0.00      0.00      0.00    100.00
07:55:16        all      0.00      0.00      0.00      0.00      0.00    100.00
07:55:17        all      0.00      0.00      0.00      0.00      0.00    100.00
07:55:18        all      0.00      0.00      0.00      0.00      0.00    100.00
07:55:19        all      0.00      0.00      0.00      0.00      0.00    100.00
07:55:20        all      0.00      0.00      0.00      0.00      0.00    100.00
07:55:21        all      0.00      0.00      0.00     28.14      0.00     71.86
07:55:22        all     18.41      0.00      1.49     24.88      0.00     55.22
07:55:23        all     58.79      0.00      3.02      7.04      0.00     31.16
07:55:24        all     81.09      0.00      4.48      8.96      0.00      5.47
07:55:25        all     94.53      0.00      3.48      0.50      0.00      1.49
07:55:26        all     95.98      0.00      3.52      0.00      0.00      0.50
07:55:27        all     72.14      0.00      1.49      9.95      0.00     16.42
07:55:28        all     67.34      0.00      0.50     11.06      0.00     21.11
07:55:29        all    100.00      0.00      0.00      0.00      0.00      0.00
07:55:30        all     99.50      0.00      0.50      0.00      0.00      0.00
07:55:31        all    100.00      0.00      0.00      0.00      0.00      0.00
07:55:32        all     96.02      0.00      2.99      0.00      0.00      1.00
07:55:33        all     98.49      0.00      1.51      0.00      0.00      0.00
07:55:34        all    100.00      0.00      0.00      0.00      0.00      0.00
07:55:35        all     98.51      0.00      1.00      0.00      0.00      0.50
07:55:36        all     99.00      0.00      0.00      1.00      0.00      0.00
07:55:37        all     99.50      0.00      0.00      0.00      0.00      0.50
07:55:38        all     96.50      0.00      3.50      0.00      0.00      0.00
07:55:39        all     95.98      0.00      0.50      0.00      0.00      3.52
07:55:40        all     89.95      0.00      1.01      4.52      0.00      4.52
07:55:41        all     90.00      0.00      1.00      0.00      0.00      9.00
07:55:42        all     30.15      0.00      1.51      5.03      0.00     63.32
07:55:43        all      0.00      0.00      0.00      0.00      0.00    100.00
07:55:44        all      0.00      0.00      0.00      0.00      0.00    100.00
07:55:45        all      0.00      0.00      0.00      0.00      0.00    100.00
07:55:46        all      0.00      0.00      0.00      0.00      0.00    100.00
07:55:47        all      0.00      0.00      0.00      0.00      0.00    100.00
07:55:48        all      0.00      0.00      0.00      0.00      0.00    100.00
07:55:49        all      0.00      0.00      0.00      0.00      0.00    100.00
07:55:50        all      0.00      0.00      0.00      0.50      0.00     99.50
07:55:51        all      0.00      0.00      0.00      0.00      0.00    100.00
