Linux 4.13.0-19-generic (instance-2) 	12/20/17 	_x86_64_	(2 CPU)

22:40:12        CPU     %user     %nice   %system   %iowait    %steal     %idle
22:40:13        all      0.00      0.00      0.00      0.00      0.00    100.00
22:40:14        all      0.00      0.00      0.00      8.54      0.00     91.46
22:40:15        all      0.00      0.00      0.00      9.55      0.00     90.45
22:40:16        all      0.50      0.00      1.00     36.00      0.00     62.50
22:40:17        all      3.48      0.00      1.49     46.27      0.00     48.76
22:40:18        all      4.46      0.00      0.50     31.68      0.00     63.37
22:40:19        all     12.12      0.00      1.01     24.75      0.00     62.12
22:40:20        all      4.52      0.00      1.01     44.22      0.00     50.25
22:40:21        all      4.02      0.00      1.01     46.23      0.00     48.74
22:40:22        all     15.54      0.00      0.52     40.41      0.00     43.52
22:40:23        all     53.00      0.00      3.50     24.00      0.00     19.50
22:40:24        all     80.81      0.00      5.05      9.09      0.00      5.05
22:40:25        all     85.43      0.00      2.51      5.53      0.00      6.53
22:40:26        all      8.50      0.00      0.50      1.00      0.00     90.00
22:40:27        all      0.00      0.00      0.00      0.00      0.00    100.00
22:40:28        all      0.00      0.00      0.00      0.00      0.00    100.00
22:40:29        all      0.00      0.00      0.00      0.00      0.00    100.00
22:40:30        all      0.00      0.00      0.00      0.00      0.00    100.00
22:40:31        all      0.00      0.00      0.00      0.00      0.00    100.00
22:40:32        all      0.00      0.00      0.50      0.00      0.00     99.50
22:40:33        all      0.00      0.00      0.50      0.00      0.00     99.50
22:40:34        all     52.97      0.00      3.47     11.88      0.00     31.68
22:40:35        all     21.32      0.00      1.02     14.72      0.00     62.94
22:40:36        all     78.00      0.00      4.50      8.50      0.00      9.00
22:40:37        all     89.55      0.00      4.48      2.99      0.00      2.99
22:40:38        all     94.00      0.00      2.50      0.00      0.00      3.50
22:40:39        all     95.48      0.00      4.02      0.00      0.00      0.50
22:40:40        all     95.48      0.00      4.02      0.00      0.00      0.50
22:40:41        all     97.01      0.00      2.99      0.00      0.00      0.00
22:40:42        all     91.92      0.00      3.54      0.00      0.00      4.55
22:40:43        all     87.06      0.00      2.99      0.00      0.00      9.95
22:40:44        all     96.98      0.00      2.51      0.00      0.00      0.50
22:40:45        all     86.57      0.00      1.00      0.00      0.00     12.44
22:40:46        all     70.85      0.00      3.02      0.00      0.00     26.13
22:40:47        all    100.00      0.00      0.00      0.00      0.00      0.00
22:40:48        all     81.19      0.00      2.97      0.00      0.00     15.84
22:40:49        all     53.27      0.00      0.50      0.00      0.00     46.23
22:40:50        all     76.00      0.00      3.50      0.00      0.00     20.50
22:40:51        all     56.28      0.00      0.50      0.00      0.00     43.22
22:40:52        all     52.00      0.00      0.00      0.00      0.00     48.00
22:40:53        all     88.44      0.00      0.50      0.50      0.00     10.55
22:40:54        all     58.29      0.00      0.00      0.00      0.00     41.71
22:40:55        all     53.00      0.00      0.50      0.00      0.00     46.50
22:40:56        all     92.42      0.00      0.51      0.00      0.00      7.07
22:40:57        all     81.59      0.00      1.00      0.00      0.00     17.41
22:40:58        all     68.00      0.00      0.00      0.50      0.00     31.50
22:40:59        all     89.95      0.00      0.50      0.00      0.00      9.55
22:41:00        all     84.58      0.00      0.50      0.00      0.00     14.93
22:41:01        all     87.00      0.00      0.00      0.00      0.00     13.00
22:41:02        all     93.47      0.00      0.00      0.00      0.00      6.53
22:41:03        all     86.50      0.00      1.50      0.00      0.00     12.00
22:41:04        all     96.50      0.00      0.00      0.00      0.00      3.50
22:41:05        all     97.00      0.00      0.50      0.00      0.00      2.50
22:41:06        all     74.63      0.00      0.50      0.00      0.00     24.88
22:41:07        all    100.00      0.00      0.00      0.00      0.00      0.00
22:41:08        all     99.50      0.00      0.50      0.00      0.00      0.00
22:41:09        all     96.50      0.00      0.00      0.00      0.00      3.50
22:41:10        all     98.50      0.00      0.50      0.00      0.00      1.00
22:41:11        all     99.50      0.00      0.50      0.00      0.00      0.00
22:41:12        all     96.98      0.00      2.01      0.00      0.00      1.01
22:41:13        all     96.00      0.00      0.00      0.00      0.00      4.00
22:41:14        all     99.50      0.00      0.50      0.00      0.00      0.00
22:41:15        all     93.47      0.00      3.02      1.01      0.00      2.51
22:41:16        all     99.00      0.00      0.50      0.00      0.00      0.50
22:41:17        all     90.00      0.00      2.00      0.00      0.00      8.00
22:41:18        all     70.00      0.00      3.50      0.00      0.00     26.50
22:41:19        all      0.00      0.00      0.00      0.00      0.00    100.00
22:41:20        all      0.00      0.00      0.00      0.00      0.00    100.00
22:41:21        all      0.00      0.00      0.00      0.00      0.00    100.00
22:41:22        all      0.00      0.00      0.00      0.00      0.00    100.00
22:41:23        all      0.00      0.00      0.00      0.00      0.00    100.00
22:41:24        all      0.00      0.00      0.00      0.00      0.00    100.00
22:41:25        all      0.00      0.00      0.00      0.50      0.00     99.50
22:41:26        all      0.00      0.00      0.00      0.00      0.00    100.00
22:41:27        all      0.00      0.00      0.00      0.00      0.00    100.00
