Linux 4.13.0-19-generic (instance-2) 	12/21/17 	_x86_64_	(2 CPU)

01:11:01        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:11:02        all      0.00      0.00      0.00      0.00      0.00    100.00
01:11:03        all      0.00      0.00      0.00      0.00      0.00    100.00
01:11:04        all      2.99      0.00      1.00     39.80      0.00     56.22
01:11:05        all      4.04      0.00      0.00     47.47      0.00     48.48
01:11:06        all      9.41      0.00      0.99     43.56      0.00     46.04
01:11:07        all     17.00      0.00      1.50     38.50      0.00     43.00
01:11:08        all      4.52      0.00      1.51     46.23      0.00     47.74
01:11:09        all     20.40      0.00      0.50     38.81      0.00     40.30
01:11:10        all     24.50      0.00      2.50     34.00      0.00     39.00
01:11:11        all     76.38      0.00      2.01     14.07      0.00      7.54
01:11:12        all     77.78      0.00      2.53     11.11      0.00      8.59
01:11:13        all     87.50      0.00      4.00      2.00      0.00      6.50
01:11:14        all     98.00      0.00      1.50      0.00      0.00      0.50
01:11:15        all     98.00      0.00      2.00      0.00      0.00      0.00
01:11:16        all     94.03      0.00      3.48      1.99      0.00      0.50
01:11:17        all     98.49      0.00      1.51      0.00      0.00      0.00
01:11:18        all     93.47      0.00      4.02      1.51      0.00      1.01
01:11:19        all     95.52      0.00      3.48      0.00      0.00      1.00
01:11:20        all     97.49      0.00      0.50      0.00      0.00      2.01
01:11:21        all     98.00      0.00      2.00      0.00      0.00      0.00
01:11:22        all     81.00      0.00      0.00      0.00      0.00     19.00
01:11:23        all     95.52      0.00      3.98      0.00      0.00      0.50
01:11:24        all     92.93      0.00      0.00      0.00      0.00      7.07
01:11:25        all     92.96      0.00      2.01      0.00      0.00      5.03
01:11:26        all     55.78      0.00      0.00      0.00      0.00     44.22
01:11:27        all     58.00      0.00      0.50      0.00      0.00     41.50
01:11:28        all     57.29      0.00      0.00      0.00      0.00     42.71
01:11:29        all     52.26      0.00      0.00      0.50      0.00     47.24
01:11:30        all     51.74      0.00      0.50      0.00      0.00     47.76
01:11:31        all     61.31      0.00      0.50      0.00      0.00     38.19
01:11:32        all     79.40      0.00      0.00      0.00      0.00     20.60
01:11:33        all     66.00      0.00      0.00      0.00      0.00     34.00
01:11:34        all     66.83      0.00      0.00      0.00      0.00     33.17
01:11:35        all     72.50      0.00      1.50      0.00      0.00     26.00
01:11:36        all     57.79      0.00      1.01     17.09      0.00     24.12
01:11:37        all     80.90      0.00      1.01      2.01      0.00     16.08
01:11:38        all     93.97      0.00      0.00      0.00      0.00      6.03
01:11:39        all     78.11      0.00      0.50      0.00      0.00     21.39
01:11:40        all     93.53      0.00      0.50      0.00      0.00      5.97
01:11:41        all     85.93      0.00      0.00      0.00      0.00     14.07
01:11:42        all     90.50      0.00      0.00      0.00      0.00      9.50
01:11:43        all     95.48      0.00      0.50      0.00      0.00      4.02
01:11:44        all     97.50      0.00      0.50      1.00      0.00      1.00
01:11:45        all     72.50      0.00      0.00      0.00      0.00     27.50
01:11:46        all     91.54      0.00      0.00      0.00      0.00      8.46
01:11:47        all     98.50      0.00      0.00      0.00      0.00      1.50
01:11:48        all     91.50      0.00      0.50      0.00      0.00      8.00
01:11:49        all     92.54      0.00      0.00      0.00      0.00      7.46
01:11:50        all     92.46      0.00      0.00      0.00      0.00      7.54
01:11:51        all     99.00      0.00      1.00      0.00      0.00      0.00
01:11:52        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:53        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:54        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:55        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:56        all     99.00      0.00      0.00      0.00      0.00      1.00
01:11:57        all     99.00      0.00      0.00      0.00      0.00      1.00
01:11:58        all     99.50      0.00      0.50      0.00      0.00      0.00
01:11:59        all     95.98      0.00      1.01      0.00      0.00      3.02
01:12:00        all     98.50      0.00      0.50      0.00      0.00      1.00
01:12:01        all     99.50      0.00      0.00      0.00      0.00      0.50
01:12:02        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:03        all     83.25      0.00      1.52     13.71      0.00      1.52
01:12:04        all     97.50      0.00      2.00      0.50      0.00      0.00
01:12:05        all     98.50      0.00      1.00      0.00      0.00      0.50
01:12:06        all     92.00      0.00      1.00      0.00      0.00      7.00
01:12:07        all     95.48      0.00      1.51      0.00      0.00      3.02
01:12:08        all      5.50      0.00      2.00      0.00      0.00     92.50
01:12:09        all      0.00      0.00      0.00      2.00      0.00     98.00
01:12:10        all      0.00      0.00      0.00      0.00      0.00    100.00
01:12:11        all      0.00      0.00      0.00      0.00      0.00    100.00
01:12:12        all      0.00      0.00      0.00      0.00      0.00    100.00
01:12:13        all      0.00      0.00      0.00      0.00      0.00    100.00
01:12:14        all      0.00      0.00      0.00      0.00      0.00    100.00
01:12:15        all      0.00      0.00      0.00      0.00      0.00    100.00
01:12:16        all     54.55      0.00      2.02      8.08      0.00     35.35
01:12:17        all     52.26      0.00      2.01     22.61      0.00     23.12
01:12:18        all     74.75      0.00      0.51     15.15      0.00      9.60
