Linux 4.13.0-19-generic (instance-2) 	12/20/17 	_x86_64_	(2 CPU)

06:58:19        CPU     %user     %nice   %system   %iowait    %steal     %idle
06:58:20        all      0.00      0.00      0.00      0.00      0.00    100.00
06:58:21        all     18.50      0.00      2.50      0.00      0.00     79.00
06:58:22        all     81.00      0.00      2.00      6.00      0.00     11.00
06:58:23        all      4.52      0.00      0.50     21.11      0.00     73.87
06:58:24        all      7.50      0.00      1.00     23.50      0.00     68.00
06:58:25        all     14.78      0.00      1.48     39.41      0.00     44.33
06:58:26        all     70.00      0.00      2.50     21.00      0.00      6.50
06:58:27        all     42.00      0.00      1.50     25.00      0.00     31.50
06:58:28        all     83.76      0.00      3.55      8.12      0.00      4.57
06:58:29        all     89.95      0.00      5.03      2.51      0.00      2.51
06:58:30        all     89.05      0.00      2.99      3.48      0.00      4.48
06:58:31        all     97.49      0.00      1.51      0.00      0.00      1.01
06:58:32        all     95.50      0.00      3.00      0.50      0.00      1.00
06:58:33        all     98.99      0.00      0.50      0.00      0.00      0.50
06:58:34        all     95.05      0.00      1.49      0.00      0.00      3.47
06:58:35        all     96.46      0.00      0.00      0.00      0.00      3.54
06:58:36        all     77.11      0.00      1.99      1.49      0.00     19.40
06:58:37        all     99.00      0.00      1.00      0.00      0.00      0.00
06:58:38        all     72.36      0.00      2.51      0.00      0.00     25.13
06:58:39        all     99.50      0.00      0.50      0.00      0.00      0.00
06:58:40        all     69.85      0.00      2.01      0.00      0.00     28.14
06:58:41        all     76.62      0.00      0.50      0.00      0.00     22.89
06:58:42        all     56.78      0.00      0.00      0.00      0.00     43.22
06:58:43        all     65.50      0.00      0.50      2.00      0.00     32.00
06:58:44        all     77.00      0.00      0.50      0.00      0.00     22.50
06:58:45        all     72.50      0.00      0.00      0.00      0.00     27.50
06:58:46        all     59.30      0.00      0.00      0.00      0.00     40.70
06:58:47        all     55.22      0.00      0.50      0.00      0.00     44.28
06:58:48        all     55.33      0.00      0.00      0.00      0.00     44.67
06:58:49        all     69.65      0.00      1.00      9.45      0.00     19.90
06:58:50        all     74.50      0.00      0.50     15.50      0.00      9.50
06:58:51        all     98.99      0.00      0.51      0.00      0.00      0.51
