Linux 4.13.0-19-generic (instance-2) 	12/18/17 	_x86_64_	(2 CPU)

07:43:06        CPU     %user     %nice   %system   %iowait    %steal     %idle
07:43:07        all      0.00      0.00      0.50      0.50      0.00     99.01
07:43:08        all      0.00      0.00      0.00      0.00      0.00    100.00
07:43:09        all      0.00      0.00      0.50     36.68      0.00     62.81
07:43:10        all      0.51      0.00      0.00     41.41      0.00     58.08
07:43:11        all      2.51      0.00      1.01     38.69      0.00     57.79
07:43:12        all      1.52      0.00      0.00     48.48      0.00     50.00
07:43:13        all     10.00      0.00      0.50     39.00      0.00     50.50
07:43:14        all     34.17      0.00      0.50     22.11      0.00     43.22
07:43:15        all      6.00      0.00      0.50     45.50      0.00     48.00
07:43:16        all     22.50      0.00      1.00     35.50      0.00     41.00
07:43:17        all     60.10      0.00      2.53     27.78      0.00      9.60
07:43:18        all     84.50      0.00      2.00      8.50      0.00      5.00
07:43:19        all     87.00      0.00      3.50      5.50      0.00      4.00
07:43:20        all     96.00      0.00      2.50      0.50      0.00      1.00
07:43:21        all     97.49      0.00      2.01      0.00      0.00      0.50
07:43:22        all     96.52      0.00      1.49      0.00      0.00      1.99
07:43:23        all     76.88      0.00      1.51      0.00      0.00     21.61
07:43:24        all     85.00      0.00      1.00      0.00      0.00     14.00
07:43:25        all     86.43      0.00      0.50      0.00      0.00     13.07
07:43:26        all     56.78      0.00      1.51      0.00      0.00     41.71
07:43:27        all     77.50      0.00      1.50      0.00      0.00     21.00
07:43:28        all     86.57      0.00      0.50      0.00      0.00     12.94
07:43:29        all     92.96      0.00      1.01      0.00      0.00      6.03
07:43:30        all     63.50      0.00      0.00      0.00      0.00     36.50
07:43:31        all     52.74      0.00      1.00      0.00      0.00     46.27
07:43:32        all     78.11      0.00      0.00      0.50      0.00     21.39
07:43:33        all     61.19      0.00      1.99      0.00      0.00     36.82
07:43:34        all     61.00      0.00      0.50      0.00      0.00     38.50
07:43:35        all     64.50      0.00      0.00      0.00      0.00     35.50
07:43:36        all     52.00      0.00      0.00      0.00      0.00     48.00
07:43:37        all     62.31      0.00      0.50      0.00      0.00     37.19
07:43:38        all     65.50      0.00      0.00      0.00      0.00     34.50
07:43:39        all     55.00      0.00      0.00      0.00      0.00     45.00
07:43:40        all     51.52      0.00      0.00      0.00      0.00     48.48
07:43:41        all     53.23      0.00      0.00      0.00      0.00     46.77
07:43:42        all     60.80      0.00      0.50      0.00      0.00     38.69
07:43:43        all     69.00      0.00      0.00      0.00      0.00     31.00
07:43:44        all     54.00      0.00      0.00      0.00      0.00     46.00
07:43:45        all     82.41      0.00      0.50      2.01      0.00     15.08
07:43:46        all     78.39      0.00      0.00      3.52      0.00     18.09
07:43:47        all     68.00      0.00      1.00     12.50      0.00     18.50
07:43:48        all     96.95      0.00      1.02      1.52      0.00      0.51
07:43:49        all     68.50      0.00      0.00      0.00      0.00     31.50
07:43:50        all     79.60      0.00      0.50      0.00      0.00     19.90
07:43:51        all     89.45      0.00      1.01      0.00      0.00      9.55
07:43:52        all     93.03      0.00      0.50      0.00      0.00      6.47
07:43:53        all     83.50      0.00      0.00      0.00      0.00     16.50
07:43:54        all     91.46      0.00      0.00      0.00      0.00      8.54
07:43:55        all     83.08      0.00      0.50      0.00      0.00     16.42
07:43:56        all     93.47      0.00      0.00      0.00      0.00      6.53
07:43:57        all     99.50      0.00      0.50      0.00      0.00      0.00
07:43:58        all     92.96      0.00      0.50      0.00      0.00      6.53
07:43:59        all     73.13      0.00      0.00      0.00      0.00     26.87
07:44:00        all     92.04      0.00      1.00      0.00      0.00      6.97
07:44:01        all     86.43      0.00      0.50      0.00      0.00     13.07
07:44:02        all     95.00      0.00      0.00      0.00      0.00      5.00
07:44:03        all     84.58      0.00      0.50      0.00      0.00     14.93
07:44:04        all     83.92      0.00      0.00      0.00      0.00     16.08
07:44:05        all     66.67      0.00      0.50      0.00      0.00     32.84
07:44:06        all     96.98      0.00      0.00      0.00      0.00      3.02
07:44:07        all     99.50      0.00      0.50      0.00      0.00      0.00
07:44:08        all    100.00      0.00      0.00      0.00      0.00      0.00
07:44:09        all     96.52      0.00      0.50      2.49      0.00      0.50
07:44:10        all     86.29      0.00      1.02     12.18      0.00      0.51
07:44:11        all     84.58      0.00      2.49      1.49      0.00     11.44
07:44:12        all      0.00      0.00      0.50      2.51      0.00     96.98
07:44:13        all      0.00      0.00      0.00      0.00      0.00    100.00
07:44:14        all      0.00      0.00      0.00      0.00      0.00    100.00
