Linux 4.13.0-17-generic (instance-2) 	12/05/17 	_x86_64_	(1 CPU)

06:00:44        CPU     %user     %nice   %system   %iowait    %steal     %idle
06:00:45        all      0.00      0.00      0.00      0.00      0.00    100.00
06:00:46        all      0.00      0.00      0.00      0.00      0.00    100.00
06:00:47        all      0.00      0.00      0.00      0.00      0.00    100.00
06:00:48        all     77.00      0.00      4.00      0.00      0.00     19.00
06:00:49        all     97.98      0.00      2.02      0.00      0.00      0.00
06:00:50        all     96.00      0.00      4.00      0.00      0.00      0.00
06:00:51        all     96.04      0.00      3.96      0.00      0.00      0.00
06:00:52        all     99.00      0.00      1.00      0.00      0.00      0.00
06:00:53        all     97.00      0.00      3.00      0.00      0.00      0.00
06:00:54        all     99.00      0.00      1.00      0.00      0.00      0.00
06:00:55        all    100.00      0.00      0.00      0.00      0.00      0.00
06:00:56        all    100.00      0.00      0.00      0.00      0.00      0.00
06:00:57        all     99.00      0.00      1.00      0.00      0.00      0.00
06:00:58        all    100.00      0.00      0.00      0.00      0.00      0.00
06:00:59        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:00        all     99.00      0.00      1.00      0.00      0.00      0.00
06:01:01        all     98.99      0.00      1.01      0.00      0.00      0.00
06:01:02        all     99.01      0.00      0.99      0.00      0.00      0.00
06:01:03        all     99.00      0.00      1.00      0.00      0.00      0.00
06:01:04        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:05        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:06        all     99.01      0.00      0.99      0.00      0.00      0.00
06:01:07        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:08        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:09        all     99.00      0.00      1.00      0.00      0.00      0.00
06:01:10        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:11        all     99.01      0.00      0.99      0.00      0.00      0.00
06:01:12        all     99.00      0.00      1.00      0.00      0.00      0.00
06:01:13        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:14        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:15        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:16        all     98.02      0.00      1.98      0.00      0.00      0.00
06:01:17        all     99.00      0.00      1.00      0.00      0.00      0.00
06:01:18        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:19        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:20        all     99.00      0.00      1.00      0.00      0.00      0.00
06:01:21        all     99.00      0.00      1.00      0.00      0.00      0.00
06:01:22        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:23        all     99.00      0.00      1.00      0.00      0.00      0.00
06:01:24        all     99.00      0.00      1.00      0.00      0.00      0.00
06:01:25        all     98.00      0.00      2.00      0.00      0.00      0.00
06:01:26        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:27        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:28        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:29        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:30        all     99.00      0.00      1.00      0.00      0.00      0.00
06:01:31        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:32        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:33        all     99.01      0.00      0.99      0.00      0.00      0.00
06:01:34        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:35        all     99.00      0.00      1.00      0.00      0.00      0.00
06:01:36        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:37        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:38        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:39        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:40        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:41        all     99.01      0.00      0.99      0.00      0.00      0.00
06:01:42        all     98.99      0.00      1.01      0.00      0.00      0.00
06:01:43        all     99.01      0.00      0.99      0.00      0.00      0.00
06:01:44        all     99.00      0.00      1.00      0.00      0.00      0.00
06:01:45        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:46        all     99.00      0.00      1.00      0.00      0.00      0.00
06:01:47        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:48        all     99.00      0.00      1.00      0.00      0.00      0.00
06:01:49        all     98.00      0.00      2.00      0.00      0.00      0.00
06:01:50        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:51        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:52        all     98.00      0.00      2.00      0.00      0.00      0.00
06:01:53        all     97.00      0.00      3.00      0.00      0.00      0.00
06:01:54        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:55        all     95.00      0.00      5.00      0.00      0.00      0.00
06:01:56        all     97.03      0.00      2.97      0.00      0.00      0.00
06:01:57        all     98.00      0.00      2.00      0.00      0.00      0.00
06:01:58        all    100.00      0.00      0.00      0.00      0.00      0.00
06:01:59        all     99.01      0.00      0.99      0.00      0.00      0.00
06:02:00        all    100.00      0.00      0.00      0.00      0.00      0.00
06:02:01        all    100.00      0.00      0.00      0.00      0.00      0.00
06:02:02        all     99.01      0.00      0.99      0.00      0.00      0.00
06:02:03        all    100.00      0.00      0.00      0.00      0.00      0.00
06:02:04        all    100.00      0.00      0.00      0.00      0.00      0.00
06:02:05        all     99.00      0.00      1.00      0.00      0.00      0.00
06:02:06        all     99.00      0.00      1.00      0.00      0.00      0.00
06:02:07        all    100.00      0.00      0.00      0.00      0.00      0.00
06:02:08        all     99.00      0.00      1.00      0.00      0.00      0.00
06:02:09        all     99.01      0.00      0.99      0.00      0.00      0.00
06:02:10        all    100.00      0.00      0.00      0.00      0.00      0.00
