Linux 4.13.0-17-generic (instance-2) 	12/17/17 	_x86_64_	(1 CPU)

00:42:25        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:42:26        all      0.00      0.00      0.00      0.00      0.00    100.00
00:42:27        all      2.97      0.00      1.98      0.00      0.00     95.05
00:42:28        all     79.00      0.00      4.00     17.00      0.00      0.00
00:42:29        all     76.00      0.00      1.00     23.00      0.00      0.00
00:42:30        all     58.00      0.00      3.00     39.00      0.00      0.00
00:42:31        all     97.98      0.00      2.02      0.00      0.00      0.00
00:42:32        all     94.06      0.00      5.94      0.00      0.00      0.00
00:42:33        all     97.00      0.00      3.00      0.00      0.00      0.00
00:42:34        all     99.00      0.00      1.00      0.00      0.00      0.00
00:42:35        all     95.00      0.00      2.00      3.00      0.00      0.00
00:42:36        all     98.00      0.00      2.00      0.00      0.00      0.00
00:42:37        all     99.00      0.00      1.00      0.00      0.00      0.00
00:42:38        all     99.00      0.00      1.00      0.00      0.00      0.00
00:42:39        all     98.00      0.00      2.00      0.00      0.00      0.00
00:42:40        all    100.00      0.00      0.00      0.00      0.00      0.00
00:42:41        all    100.00      0.00      0.00      0.00      0.00      0.00
00:42:42        all     99.01      0.00      0.99      0.00      0.00      0.00
00:42:43        all     99.00      0.00      1.00      0.00      0.00      0.00
00:42:44        all    100.00      0.00      0.00      0.00      0.00      0.00
00:42:45        all    100.00      0.00      0.00      0.00      0.00      0.00
00:42:46        all     99.01      0.00      0.99      0.00      0.00      0.00
00:42:47        all     99.01      0.00      0.99      0.00      0.00      0.00
00:42:48        all    100.00      0.00      0.00      0.00      0.00      0.00
00:42:49        all    100.00      0.00      0.00      0.00      0.00      0.00
00:42:50        all     99.00      0.00      1.00      0.00      0.00      0.00
00:42:51        all    100.00      0.00      0.00      0.00      0.00      0.00
00:42:52        all    100.00      0.00      0.00      0.00      0.00      0.00
00:42:53        all     99.00      0.00      1.00      0.00      0.00      0.00
00:42:54        all    100.00      0.00      0.00      0.00      0.00      0.00
00:42:55        all    100.00      0.00      0.00      0.00      0.00      0.00
00:42:56        all    100.00      0.00      0.00      0.00      0.00      0.00
00:42:57        all    100.00      0.00      0.00      0.00      0.00      0.00
00:42:58        all    100.00      0.00      0.00      0.00      0.00      0.00
00:42:59        all    100.00      0.00      0.00      0.00      0.00      0.00
00:43:00        all    100.00      0.00      0.00      0.00      0.00      0.00
00:43:01        all    100.00      0.00      0.00      0.00      0.00      0.00
00:43:02        all     98.02      0.00      1.98      0.00      0.00      0.00
00:43:03        all    100.00      0.00      0.00      0.00      0.00      0.00
