Linux 4.13.0-17-generic (instance-2) 	12/17/17 	_x86_64_	(1 CPU)

01:09:48        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:09:49        all      0.00      0.00      0.00      0.00      0.00    100.00
01:09:50        all      0.00      0.00      0.00      0.00      0.00    100.00
01:09:51        all     21.00      0.00      1.00      0.00      0.00     78.00
01:09:52        all     98.02      0.00      1.98      0.00      0.00      0.00
01:09:53        all     98.99      0.00      1.01      0.00      0.00      0.00
01:09:54        all     98.00      0.00      2.00      0.00      0.00      0.00
01:09:55        all     98.00      0.00      2.00      0.00      0.00      0.00
01:09:56        all     97.00      0.00      3.00      0.00      0.00      0.00
01:09:57        all     99.00      0.00      1.00      0.00      0.00      0.00
01:09:58        all     98.00      0.00      2.00      0.00      0.00      0.00
01:09:59        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:00        all     99.01      0.00      0.99      0.00      0.00      0.00
01:10:01        all     97.98      0.00      2.02      0.00      0.00      0.00
01:10:02        all     99.00      0.00      1.00      0.00      0.00      0.00
01:10:03        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:04        all     99.00      0.00      1.00      0.00      0.00      0.00
01:10:05        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:06        all     99.00      0.00      1.00      0.00      0.00      0.00
01:10:07        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:08        all     99.00      0.00      1.00      0.00      0.00      0.00
01:10:09        all     99.00      0.00      1.00      0.00      0.00      0.00
01:10:10        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:11        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:12        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:13        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:14        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:15        all     99.00      0.00      1.00      0.00      0.00      0.00
01:10:16        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:17        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:18        all     98.02      0.00      1.98      0.00      0.00      0.00
01:10:19        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:20        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:21        all     97.00      0.00      3.00      0.00      0.00      0.00
01:10:22        all     98.00      0.00      2.00      0.00      0.00      0.00
01:10:23        all     99.01      0.00      0.99      0.00      0.00      0.00
01:10:24        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:25        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:26        all     99.00      0.00      1.00      0.00      0.00      0.00
01:10:27        all     99.01      0.00      0.99      0.00      0.00      0.00
01:10:28        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:29        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:30        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:31        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:32        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:33        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:34        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:35        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:36        all     99.00      0.00      1.00      0.00      0.00      0.00
01:10:37        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:38        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:39        all     99.01      0.00      0.99      0.00      0.00      0.00
01:10:40        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:41        all     99.00      0.00      1.00      0.00      0.00      0.00
01:10:42        all     99.01      0.00      0.99      0.00      0.00      0.00
01:10:43        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:44        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:45        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:46        all     99.01      0.00      0.99      0.00      0.00      0.00
01:10:47        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:48        all     99.00      0.00      1.00      0.00      0.00      0.00
01:10:49        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:50        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:51        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:52        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:53        all     99.01      0.00      0.99      0.00      0.00      0.00
01:10:54        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:55        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:56        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:57        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:58        all    100.00      0.00      0.00      0.00      0.00      0.00
01:10:59        all     99.01      0.00      0.99      0.00      0.00      0.00
01:11:00        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:01        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:02        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:03        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:04        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:05        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:06        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:07        all     99.01      0.00      0.99      0.00      0.00      0.00
01:11:08        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:09        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:10        all     99.01      0.00      0.99      0.00      0.00      0.00
01:11:11        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:12        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:13        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:14        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:15        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:16        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:17        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:18        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:19        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:20        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:21        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:22        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:23        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:24        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:25        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:26        all     98.00      0.00      2.00      0.00      0.00      0.00
01:11:27        all     94.06      0.00      5.94      0.00      0.00      0.00
01:11:28        all     96.97      0.00      3.03      0.00      0.00      0.00
01:11:29        all     98.00      0.00      2.00      0.00      0.00      0.00
01:11:30        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:31        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:32        all     99.01      0.00      0.99      0.00      0.00      0.00
01:11:33        all     99.00      0.00      1.00      0.00      0.00      0.00
01:11:34        all     99.00      0.00      1.00      0.00      0.00      0.00
01:11:35        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:36        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:37        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:38        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:39        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:40        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:41        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:42        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:43        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:44        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:45        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:46        all     96.04      0.00      3.96      0.00      0.00      0.00
01:11:47        all     99.00      0.00      1.00      0.00      0.00      0.00
01:11:48        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:49        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:50        all     99.00      0.00      1.00      0.00      0.00      0.00
01:11:51        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:52        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:53        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:54        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:55        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:56        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:57        all    100.00      0.00      0.00      0.00      0.00      0.00
01:11:58        all     99.00      0.00      1.00      0.00      0.00      0.00
01:11:59        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:00        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:01        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:02        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:03        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:04        all     99.00      0.00      1.00      0.00      0.00      0.00
01:12:05        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:06        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:07        all     99.00      0.00      1.00      0.00      0.00      0.00
01:12:08        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:09        all     99.00      0.00      1.00      0.00      0.00      0.00
01:12:10        all     99.00      0.00      1.00      0.00      0.00      0.00
01:12:11        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:12        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:13        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:14        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:15        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:16        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:17        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:18        all     99.00      0.00      1.00      0.00      0.00      0.00
01:12:19        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:20        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:21        all     99.00      0.00      1.00      0.00      0.00      0.00
01:12:22        all     99.00      0.00      1.00      0.00      0.00      0.00
01:12:23        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:24        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:25        all     99.00      0.00      1.00      0.00      0.00      0.00
01:12:26        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:27        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:28        all     99.00      0.00      1.00      0.00      0.00      0.00
01:12:29        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:30        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:31        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:32        all     99.00      0.00      1.00      0.00      0.00      0.00
01:12:33        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:34        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:35        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:36        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:37        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:38        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:39        all     99.00      0.00      1.00      0.00      0.00      0.00
01:12:40        all     96.00      0.00      4.00      0.00      0.00      0.00
01:12:41        all     97.00      0.00      3.00      0.00      0.00      0.00
01:12:42        all     98.00      0.00      2.00      0.00      0.00      0.00
01:12:43        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:44        all     99.00      0.00      1.00      0.00      0.00      0.00
01:12:45        all     99.00      0.00      1.00      0.00      0.00      0.00
01:12:46        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:47        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:48        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:49        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:50        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:51        all     99.00      0.00      1.00      0.00      0.00      0.00
01:12:52        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:53        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:54        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:55        all     99.00      0.00      1.00      0.00      0.00      0.00
01:12:56        all     96.97      0.00      3.03      0.00      0.00      0.00
01:12:57        all     99.01      0.00      0.99      0.00      0.00      0.00
01:12:58        all    100.00      0.00      0.00      0.00      0.00      0.00
01:12:59        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:00        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:01        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:02        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:03        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:04        all     99.00      0.00      1.00      0.00      0.00      0.00
01:13:05        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:06        all     99.01      0.00      0.99      0.00      0.00      0.00
01:13:07        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:08        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:09        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:10        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:11        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:12        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:13        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:14        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:15        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:16        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:17        all     99.00      0.00      1.00      0.00      0.00      0.00
01:13:18        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:19        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:20        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:21        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:22        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:23        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:24        all     99.01      0.00      0.99      0.00      0.00      0.00
01:13:25        all     96.00      0.00      4.00      0.00      0.00      0.00
01:13:26        all     96.00      0.00      4.00      0.00      0.00      0.00
01:13:27        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:28        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:29        all     99.00      0.00      1.00      0.00      0.00      0.00
01:13:30        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:31        all     99.00      0.00      1.00      0.00      0.00      0.00
01:13:32        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:33        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:34        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:35        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:36        all     98.02      0.00      1.98      0.00      0.00      0.00
01:13:37        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:38        all     99.00      0.00      1.00      0.00      0.00      0.00
01:13:39        all     95.00      0.00      5.00      0.00      0.00      0.00
01:13:40        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:41        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:42        all     99.00      0.00      1.00      0.00      0.00      0.00
01:13:43        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:44        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:45        all     99.01      0.00      0.99      0.00      0.00      0.00
01:13:46        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:47        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:48        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:49        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:50        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:51        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:52        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:53        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:54        all     99.01      0.00      0.99      0.00      0.00      0.00
01:13:55        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:56        all    100.00      0.00      0.00      0.00      0.00      0.00
01:13:57        all    100.00      0.00      0.00      0.00      0.00      0.00
