Linux 4.13.0-17-generic (instance-2) 	12/17/17 	_x86_64_	(1 CPU)

00:36:41        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:36:42        all      0.00      0.00      0.00      0.00      0.00    100.00
00:36:43        all      0.00      0.00      0.00      0.00      0.00    100.00
Linux 4.13.0-17-generic (instance-2) 	12/17/17 	_x86_64_	(1 CPU)

00:37:39        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:37:40        all      0.00      0.00      0.00      0.00      0.00    100.00
00:37:41        all      0.00      0.00      0.00      0.00      0.00    100.00
00:37:42        all      0.00      0.00      0.00      0.00      0.00    100.00
00:37:43        all      0.00      0.00      0.00      0.00      0.00    100.00
00:37:44        all     62.63      0.00      4.04      0.00      0.00     33.33
00:37:45        all     96.00      0.00      4.00      0.00      0.00      0.00
00:37:46        all     98.02      0.00      1.98      0.00      0.00      0.00
00:37:47        all     96.97      0.00      3.03      0.00      0.00      0.00
00:37:48        all     97.03      0.00      2.97      0.00      0.00      0.00
00:37:49        all     99.00      0.00      1.00      0.00      0.00      0.00
00:37:50        all    100.00      0.00      0.00      0.00      0.00      0.00
00:37:51        all     98.99      0.00      1.01      0.00      0.00      0.00
00:37:52        all     99.00      0.00      1.00      0.00      0.00      0.00
00:37:53        all     99.01      0.00      0.99      0.00      0.00      0.00
00:37:54        all    100.00      0.00      0.00      0.00      0.00      0.00
00:37:55        all    100.00      0.00      0.00      0.00      0.00      0.00
00:37:56        all    100.00      0.00      0.00      0.00      0.00      0.00
00:37:57        all    100.00      0.00      0.00      0.00      0.00      0.00
00:37:58        all     99.00      0.00      1.00      0.00      0.00      0.00
00:37:59        all    100.00      0.00      0.00      0.00      0.00      0.00
00:38:00        all    100.00      0.00      0.00      0.00      0.00      0.00
00:38:01        all     98.02      0.00      1.98      0.00      0.00      0.00
00:38:02        all    100.00      0.00      0.00      0.00      0.00      0.00
00:38:03        all     99.01      0.00      0.99      0.00      0.00      0.00
00:38:04        all     99.00      0.00      1.00      0.00      0.00      0.00
00:38:05        all    100.00      0.00      0.00      0.00      0.00      0.00
00:38:06        all     99.01      0.00      0.99      0.00      0.00      0.00
00:38:07        all    100.00      0.00      0.00      0.00      0.00      0.00
00:38:08        all    100.00      0.00      0.00      0.00      0.00      0.00
00:38:09        all    100.00      0.00      0.00      0.00      0.00      0.00
00:38:10        all    100.00      0.00      0.00      0.00      0.00      0.00
00:38:11        all     99.00      0.00      1.00      0.00      0.00      0.00
00:38:12        all     99.01      0.00      0.99      0.00      0.00      0.00
00:38:13        all     99.00      0.00      1.00      0.00      0.00      0.00
00:38:14        all    100.00      0.00      0.00      0.00      0.00      0.00
00:38:15        all     99.01      0.00      0.99      0.00      0.00      0.00
00:38:16        all    100.00      0.00      0.00      0.00      0.00      0.00
00:38:17        all    100.00      0.00      0.00      0.00      0.00      0.00
00:38:18        all     98.02      0.00      1.98      0.00      0.00      0.00
00:38:19        all    100.00      0.00      0.00      0.00      0.00      0.00
00:38:20        all    100.00      0.00      0.00      0.00      0.00      0.00
00:38:21        all     98.02      0.00      1.98      0.00      0.00      0.00
00:38:22        all    100.00      0.00      0.00      0.00      0.00      0.00
00:38:23        all     99.00      0.00      1.00      0.00      0.00      0.00
00:38:24        all    100.00      0.00      0.00      0.00      0.00      0.00
00:38:25        all     99.00      0.00      1.00      0.00      0.00      0.00
00:38:26        all     99.00      0.00      1.00      0.00      0.00      0.00
00:38:27        all     99.01      0.00      0.99      0.00      0.00      0.00
00:38:28        all    100.00      0.00      0.00      0.00      0.00      0.00
00:38:29        all     98.02      0.00      1.98      0.00      0.00      0.00
00:38:30        all     97.00      0.00      3.00      0.00      0.00      0.00
