Linux 4.13.0-17-generic (instance-2) 	12/17/17 	_x86_64_	(1 CPU)

07:56:41        CPU     %user     %nice   %system   %iowait    %steal     %idle
07:56:42        all      0.98      0.00      1.96      0.00      0.00     97.06
07:56:43        all      1.01      0.00      0.00      0.00      0.00     98.99
07:56:44        all     51.00      0.00      4.00      0.00      0.00     45.00
07:56:45        all     97.00      0.00      3.00      0.00      0.00      0.00
07:56:46        all     94.95      0.00      5.05      0.00      0.00      0.00
07:56:47        all     96.04      0.00      3.96      0.00      0.00      0.00
07:56:48        all     96.00      0.00      4.00      0.00      0.00      0.00
07:56:49        all     97.00      0.00      3.00      0.00      0.00      0.00
07:56:50        all     97.00      0.00      3.00      0.00      0.00      0.00
07:56:51        all     98.02      0.00      1.98      0.00      0.00      0.00
07:56:52        all     98.99      0.00      1.01      0.00      0.00      0.00
07:56:53        all     98.00      0.00      2.00      0.00      0.00      0.00
07:56:54        all    100.00      0.00      0.00      0.00      0.00      0.00
07:56:55        all    100.00      0.00      0.00      0.00      0.00      0.00
07:56:56        all     98.02      0.00      1.98      0.00      0.00      0.00
07:56:57        all     98.00      0.00      2.00      0.00      0.00      0.00
07:56:58        all    100.00      0.00      0.00      0.00      0.00      0.00
07:56:59        all     98.02      0.00      1.98      0.00      0.00      0.00
07:57:00        all    100.00      0.00      0.00      0.00      0.00      0.00
07:57:01        all     99.00      0.00      1.00      0.00      0.00      0.00
07:57:02        all     99.00      0.00      1.00      0.00      0.00      0.00
07:57:03        all     99.00      0.00      1.00      0.00      0.00      0.00
07:57:04        all     99.00      0.00      1.00      0.00      0.00      0.00
07:57:05        all     97.00      0.00      3.00      0.00      0.00      0.00
07:57:06        all    100.00      0.00      0.00      0.00      0.00      0.00
07:57:07        all     99.01      0.00      0.99      0.00      0.00      0.00
07:57:08        all     98.00      0.00      2.00      0.00      0.00      0.00
07:57:09        all     99.01      0.00      0.99      0.00      0.00      0.00
07:57:10        all    100.00      0.00      0.00      0.00      0.00      0.00
07:57:11        all    100.00      0.00      0.00      0.00      0.00      0.00
07:57:12        all    100.00      0.00      0.00      0.00      0.00      0.00
07:57:13        all     98.00      0.00      2.00      0.00      0.00      0.00
07:57:14        all     98.99      0.00      1.01      0.00      0.00      0.00
07:57:15        all     98.02      0.00      1.98      0.00      0.00      0.00
07:57:16        all     98.00      0.00      2.00      0.00      0.00      0.00
07:57:17        all     99.00      0.00      1.00      0.00      0.00      0.00
07:57:18        all    100.00      0.00      0.00      0.00      0.00      0.00
07:57:19        all     98.02      0.00      1.98      0.00      0.00      0.00
07:57:20        all     99.00      0.00      1.00      0.00      0.00      0.00
07:57:21        all     99.00      0.00      1.00      0.00      0.00      0.00
07:57:22        all     98.99      0.00      1.01      0.00      0.00      0.00
07:57:23        all     99.00      0.00      1.00      0.00      0.00      0.00
07:57:24        all     98.02      0.00      1.98      0.00      0.00      0.00
07:57:25        all    100.00      0.00      0.00      0.00      0.00      0.00
07:57:26        all     99.00      0.00      1.00      0.00      0.00      0.00
07:57:27        all     99.00      0.00      1.00      0.00      0.00      0.00
07:57:28        all    100.00      0.00      0.00      0.00      0.00      0.00
07:57:29        all     99.01      0.00      0.99      0.00      0.00      0.00
07:57:30        all     99.00      0.00      1.00      0.00      0.00      0.00
07:57:31        all    100.00      0.00      0.00      0.00      0.00      0.00
07:57:32        all     99.01      0.00      0.99      0.00      0.00      0.00
07:57:33        all    100.00      0.00      0.00      0.00      0.00      0.00
07:57:34        all     99.00      0.00      1.00      0.00      0.00      0.00
07:57:35        all    100.00      0.00      0.00      0.00      0.00      0.00
07:57:36        all     99.00      0.00      1.00      0.00      0.00      0.00
07:57:37        all     99.01      0.00      0.99      0.00      0.00      0.00
07:57:38        all    100.00      0.00      0.00      0.00      0.00      0.00
07:57:39        all    100.00      0.00      0.00      0.00      0.00      0.00
07:57:40        all     99.00      0.00      1.00      0.00      0.00      0.00
07:57:41        all     99.00      0.00      1.00      0.00      0.00      0.00
07:57:42        all     99.00      0.00      1.00      0.00      0.00      0.00
07:57:43        all     99.01      0.00      0.99      0.00      0.00      0.00
07:57:44        all    100.00      0.00      0.00      0.00      0.00      0.00
07:57:45        all    100.00      0.00      0.00      0.00      0.00      0.00
07:57:46        all     99.00      0.00      1.00      0.00      0.00      0.00
07:57:47        all     98.00      0.00      2.00      0.00      0.00      0.00
07:57:48        all    100.00      0.00      0.00      0.00      0.00      0.00
07:57:49        all     99.01      0.00      0.99      0.00      0.00      0.00
07:57:50        all     99.00      0.00      1.00      0.00      0.00      0.00
07:57:51        all    100.00      0.00      0.00      0.00      0.00      0.00
07:57:52        all    100.00      0.00      0.00      0.00      0.00      0.00
07:57:53        all    100.00      0.00      0.00      0.00      0.00      0.00
07:57:54        all    100.00      0.00      0.00      0.00      0.00      0.00
07:57:55        all    100.00      0.00      0.00      0.00      0.00      0.00
07:57:56        all     99.00      0.00      1.00      0.00      0.00      0.00
07:57:57        all     99.00      0.00      1.00      0.00      0.00      0.00
07:57:58        all     98.02      0.00      1.98      0.00      0.00      0.00
07:57:59        all    100.00      0.00      0.00      0.00      0.00      0.00
07:58:00        all     99.01      0.00      0.99      0.00      0.00      0.00
07:58:01        all     97.98      0.00      2.02      0.00      0.00      0.00
07:58:02        all     97.00      0.00      3.00      0.00      0.00      0.00
07:58:03        all     99.01      0.00      0.99      0.00      0.00      0.00
07:58:04        all     98.00      0.00      2.00      0.00      0.00      0.00
07:58:05        all    100.00      0.00      0.00      0.00      0.00      0.00
07:58:06        all     99.00      0.00      1.00      0.00      0.00      0.00
07:58:07        all     99.00      0.00      1.00      0.00      0.00      0.00
07:58:08        all     98.02      0.00      1.98      0.00      0.00      0.00
07:58:09        all    100.00      0.00      0.00      0.00      0.00      0.00
07:58:10        all    100.00      0.00      0.00      0.00      0.00      0.00
07:58:11        all     99.00      0.00      1.00      0.00      0.00      0.00
07:58:12        all     99.01      0.00      0.99      0.00      0.00      0.00
07:58:13        all     97.98      0.00      2.02      0.00      0.00      0.00
07:58:14        all     96.00      0.00      4.00      0.00      0.00      0.00
07:58:15        all     96.00      0.00      4.00      0.00      0.00      0.00
07:58:16        all     96.00      0.00      4.00      0.00      0.00      0.00
07:58:17        all     98.02      0.00      1.98      0.00      0.00      0.00
07:58:18        all     98.99      0.00      1.01      0.00      0.00      0.00
07:58:19        all    100.00      0.00      0.00      0.00      0.00      0.00
07:58:20        all     98.02      0.00      1.98      0.00      0.00      0.00
07:58:21        all     98.00      0.00      2.00      0.00      0.00      0.00
07:58:22        all     98.99      0.00      1.01      0.00      0.00      0.00
07:58:23        all     99.00      0.00      1.00      0.00      0.00      0.00
07:58:24        all     99.01      0.00      0.99      0.00      0.00      0.00
07:58:25        all     98.00      0.00      2.00      0.00      0.00      0.00
