Linux 4.13.0-17-generic (instance-2) 	12/17/17 	_x86_64_	(1 CPU)

17:58:31        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:58:32        all      0.00      0.00      0.00      0.00      0.00    100.00
17:58:33        all      0.00      0.00      0.00      0.00      0.00    100.00
17:58:34        all      2.00      0.00      0.00      8.00      0.00     90.00
17:58:35        all      0.00      0.00      0.00      0.00      0.00    100.00
17:58:36        all      0.00      0.00      0.00      0.00      0.00    100.00
17:58:37        all     28.57      0.00      3.06     11.22      0.00     57.14
17:58:38        all     79.00      0.00      2.00     19.00      0.00      0.00
17:58:39        all     38.38      0.00      2.02     59.60      0.00      0.00
17:58:40        all     95.00      0.00      5.00      0.00      0.00      0.00
17:58:41        all    100.00      0.00      0.00      0.00      0.00      0.00
17:58:42        all     98.00      0.00      2.00      0.00      0.00      0.00
17:58:43        all     94.06      0.00      5.94      0.00      0.00      0.00
17:58:44        all     98.99      0.00      1.01      0.00      0.00      0.00
17:58:45        all     99.01      0.00      0.99      0.00      0.00      0.00
17:58:46        all    100.00      0.00      0.00      0.00      0.00      0.00
17:58:47        all     99.00      0.00      1.00      0.00      0.00      0.00
17:58:48        all     99.00      0.00      1.00      0.00      0.00      0.00
17:58:49        all     98.02      0.00      1.98      0.00      0.00      0.00
17:58:50        all    100.00      0.00      0.00      0.00      0.00      0.00
17:58:51        all    100.00      0.00      0.00      0.00      0.00      0.00
17:58:52        all     99.01      0.00      0.99      0.00      0.00      0.00
17:58:53        all     99.00      0.00      1.00      0.00      0.00      0.00
17:58:54        all    100.00      0.00      0.00      0.00      0.00      0.00
17:58:55        all    100.00      0.00      0.00      0.00      0.00      0.00
17:58:56        all     99.01      0.00      0.99      0.00      0.00      0.00
17:58:57        all    100.00      0.00      0.00      0.00      0.00      0.00
17:58:58        all     99.01      0.00      0.99      0.00      0.00      0.00
17:58:59        all    100.00      0.00      0.00      0.00      0.00      0.00
17:59:00        all     99.01      0.00      0.99      0.00      0.00      0.00
17:59:01        all     99.00      0.00      1.00      0.00      0.00      0.00
17:59:02        all    100.00      0.00      0.00      0.00      0.00      0.00
17:59:03        all    100.00      0.00      0.00      0.00      0.00      0.00
17:59:04        all     99.01      0.00      0.99      0.00      0.00      0.00
