Linux 4.13.0-17-generic (instance-2) 	12/17/17 	_x86_64_	(1 CPU)

17:39:31        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:39:32        all      0.00      0.00      0.00      0.00      0.00    100.00
17:39:33        all      0.00      0.00      0.00      0.00      0.00    100.00
17:39:34        all      0.00      0.00      1.00     11.00      0.00     88.00
17:39:35        all      0.00      0.00      1.00     99.00      0.00      0.00
17:39:36        all      4.00      0.00      2.00     94.00      0.00      0.00
17:39:37        all      3.96      0.00      2.97     93.07      0.00      0.00
17:39:38        all      3.03      0.00      1.01     95.96      0.00      0.00
17:39:39        all     20.79      0.00      0.99     78.22      0.00      0.00
17:39:40        all     30.69      0.00      0.99     68.32      0.00      0.00
17:39:41        all      6.00      0.00      1.00     93.00      0.00      0.00
17:39:42        all     14.29      0.00      2.04     83.67      0.00      0.00
17:39:43        all     48.48      0.00      2.02     49.49      0.00      0.00
17:39:44        all     61.76      0.00      3.92     34.31      0.00      0.00
17:39:45        all     93.00      0.00      5.00      2.00      0.00      0.00
17:39:46        all     97.00      0.00      3.00      0.00      0.00      0.00
17:39:47        all     97.00      0.00      3.00      0.00      0.00      0.00
17:39:48        all     99.00      0.00      1.00      0.00      0.00      0.00
17:39:49        all     82.00      0.00      1.00     17.00      0.00      0.00
17:39:50        all     99.00      0.00      1.00      0.00      0.00      0.00
17:39:51        all    100.00      0.00      0.00      0.00      0.00      0.00
17:39:52        all    100.00      0.00      0.00      0.00      0.00      0.00
17:39:53        all     99.00      0.00      1.00      0.00      0.00      0.00
17:39:54        all     99.00      0.00      1.00      0.00      0.00      0.00
17:39:55        all    100.00      0.00      0.00      0.00      0.00      0.00
17:39:56        all     99.00      0.00      1.00      0.00      0.00      0.00
17:39:57        all     99.00      0.00      1.00      0.00      0.00      0.00
17:39:58        all    100.00      0.00      0.00      0.00      0.00      0.00
17:39:59        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:00        all     99.00      0.00      1.00      0.00      0.00      0.00
17:40:01        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:02        all     99.00      0.00      1.00      0.00      0.00      0.00
17:40:03        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:04        all     98.00      0.00      2.00      0.00      0.00      0.00
17:40:05        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:06        all     99.00      0.00      1.00      0.00      0.00      0.00
17:40:07        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:08        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:09        all     99.00      0.00      1.00      0.00      0.00      0.00
17:40:10        all     73.00      0.00      0.00     27.00      0.00      0.00
17:40:11        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:12        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:13        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:14        all     96.04      0.00      3.96      0.00      0.00      0.00
17:40:15        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:16        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:17        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:18        all     99.01      0.00      0.99      0.00      0.00      0.00
17:40:19        all     98.99      0.00      1.01      0.00      0.00      0.00
17:40:20        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:21        all     99.00      0.00      1.00      0.00      0.00      0.00
17:40:22        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:23        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:24        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:25        all     99.00      0.00      1.00      0.00      0.00      0.00
17:40:26        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:27        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:28        all     98.00      0.00      2.00      0.00      0.00      0.00
17:40:29        all     98.00      0.00      2.00      0.00      0.00      0.00
17:40:30        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:31        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:32        all     96.00      0.00      4.00      0.00      0.00      0.00
17:40:33        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:34        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:35        all     97.00      0.00      3.00      0.00      0.00      0.00
17:40:36        all     99.00      0.00      1.00      0.00      0.00      0.00
17:40:37        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:38        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:39        all     99.00      0.00      1.00      0.00      0.00      0.00
17:40:40        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:41        all     99.00      0.00      1.00      0.00      0.00      0.00
17:40:42        all     99.00      0.00      1.00      0.00      0.00      0.00
17:40:43        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:44        all     99.00      0.00      1.00      0.00      0.00      0.00
17:40:45        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:46        all     99.00      0.00      1.00      0.00      0.00      0.00
17:40:47        all     99.00      0.00      1.00      0.00      0.00      0.00
17:40:48        all     99.00      0.00      1.00      0.00      0.00      0.00
17:40:49        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:50        all     97.00      0.00      3.00      0.00      0.00      0.00
17:40:51        all     97.00      0.00      3.00      0.00      0.00      0.00
17:40:52        all     99.00      0.00      1.00      0.00      0.00      0.00
17:40:53        all     99.00      0.00      1.00      0.00      0.00      0.00
17:40:54        all     99.00      0.00      1.00      0.00      0.00      0.00
17:40:55        all     99.00      0.00      1.00      0.00      0.00      0.00
17:40:56        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:57        all     98.00      0.00      2.00      0.00      0.00      0.00
17:40:58        all    100.00      0.00      0.00      0.00      0.00      0.00
17:40:59        all     98.00      0.00      2.00      0.00      0.00      0.00
17:41:00        all    100.00      0.00      0.00      0.00      0.00      0.00
17:41:01        all     99.00      0.00      1.00      0.00      0.00      0.00
17:41:02        all     98.00      0.00      2.00      0.00      0.00      0.00
17:41:03        all    100.00      0.00      0.00      0.00      0.00      0.00
17:41:04        all     97.00      0.00      3.00      0.00      0.00      0.00
17:41:05        all     95.00      0.00      5.00      0.00      0.00      0.00
17:41:06        all    100.00      0.00      0.00      0.00      0.00      0.00
17:41:07        all    100.00      0.00      0.00      0.00      0.00      0.00
17:41:08        all     99.00      0.00      1.00      0.00      0.00      0.00
17:41:09        all     99.00      0.00      1.00      0.00      0.00      0.00
17:41:10        all     99.00      0.00      1.00      0.00      0.00      0.00
17:41:11        all    100.00      0.00      0.00      0.00      0.00      0.00
17:41:12        all     97.00      0.00      3.00      0.00      0.00      0.00
17:41:13        all     99.00      0.00      1.00      0.00      0.00      0.00
17:41:14        all    100.00      0.00      0.00      0.00      0.00      0.00
17:41:15        all    100.00      0.00      0.00      0.00      0.00      0.00
17:41:16        all     99.00      0.00      1.00      0.00      0.00      0.00
17:41:17        all    100.00      0.00      0.00      0.00      0.00      0.00
17:41:18        all     95.00      0.00      5.00      0.00      0.00      0.00
17:41:19        all     98.00      0.00      2.00      0.00      0.00      0.00
17:41:20        all     99.00      0.00      1.00      0.00      0.00      0.00
17:41:21        all     99.00      0.00      1.00      0.00      0.00      0.00
17:41:22        all     99.00      0.00      1.00      0.00      0.00      0.00
17:41:23        all     98.00      0.00      2.00      0.00      0.00      0.00
17:41:24        all    100.00      0.00      0.00      0.00      0.00      0.00
17:41:25        all     99.00      0.00      1.00      0.00      0.00      0.00
17:41:26        all     98.02      0.00      1.98      0.00      0.00      0.00
17:41:27        all    100.00      0.00      0.00      0.00      0.00      0.00
17:41:28        all    100.00      0.00      0.00      0.00      0.00      0.00
17:41:29        all    100.00      0.00      0.00      0.00      0.00      0.00
17:41:30        all     98.99      0.00      1.01      0.00      0.00      0.00
17:41:31        all    100.00      0.00      0.00      0.00      0.00      0.00
17:41:32        all    100.00      0.00      0.00      0.00      0.00      0.00
17:41:33        all    100.00      0.00      0.00      0.00      0.00      0.00
17:41:34        all     95.00      0.00      5.00      0.00      0.00      0.00
17:41:35        all    100.00      0.00      0.00      0.00      0.00      0.00
17:41:36        all     99.01      0.00      0.99      0.00      0.00      0.00
17:41:37        all    100.00      0.00      0.00      0.00      0.00      0.00
17:41:38        all     96.30      0.00      3.70      0.00      0.00      0.00
17:41:39        all    100.00      0.00      0.00      0.00      0.00      0.00
17:41:40        all    100.00      0.00      0.00      0.00      0.00      0.00
17:41:41        all     99.00      0.00      1.00      0.00      0.00      0.00
17:41:42        all     96.49      0.00      3.51      0.00      0.00      0.00
17:41:43        all    100.00      0.00      0.00      0.00      0.00      0.00
17:41:44        all    100.00      0.00      0.00      0.00      0.00      0.00
17:41:45        all     99.01      0.00      0.99      0.00      0.00      0.00
17:41:46        all     44.35      0.00     26.96     28.70      0.00      0.00
17:41:47        all      0.00      0.00     84.04     15.96      0.00      0.00
17:41:48        all      0.00      0.00     88.00     12.00      0.00      0.00
17:41:49        all      0.00      0.00     91.26      8.74      0.00      0.00
17:41:50        all      1.06      0.00     87.23     11.70      0.00      0.00
17:41:51        all      0.00      0.00     91.26      8.74      0.00      0.00
17:41:52        all      0.00      0.00     89.80     10.20      0.00      0.00
17:41:54        all      0.00      0.00     88.12     11.88      0.00      0.00
17:41:55        all      0.00      0.00     89.80     10.20      0.00      0.00
17:41:56        all      0.00      0.00     87.96     12.04      0.00      0.00
17:41:57        all      0.00      0.00     87.25     12.75      0.00      0.00
17:42:00        all      0.34      0.00     88.51     11.15      0.00      0.00
17:42:01        all      1.01      0.00     88.89     10.10      0.00      0.00
17:42:02        all      0.98      0.00     81.37     17.65      0.00      0.00
17:42:05        all      0.00      0.00     91.03      8.97      0.00      0.00
17:42:07        all      0.50      0.00     91.46      8.04      0.00      0.00
17:42:08        all      0.00      0.00     84.44     15.56      0.00      0.00
17:42:09        all      0.00      0.00      0.00     16.67      0.00     83.33
17:42:10        all      0.00      0.00      0.99      0.99      0.00     98.02
17:42:11        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:12        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:13        all      0.00      0.00      1.00      0.00      0.00     99.00
17:42:14        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:15        all      0.00      0.00      0.99      0.00      0.00     99.01
17:42:16        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:17        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:18        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:19        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:20        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:21        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:22        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:23        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:24        all      0.00      0.00      0.00      7.00      0.00     93.00
17:42:25        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:26        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:27        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:28        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:29        all      0.00      0.00      0.00      0.99      0.00     99.01
17:42:30        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:31        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:32        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:33        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:34        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:35        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:36        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:37        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:38        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:39        all      0.00      0.00      0.00      2.00      0.00     98.00
17:42:40        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:41        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:42        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:43        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:44        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:45        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:46        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:47        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:48        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:49        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:50        all      0.00      0.00      0.99      0.00      0.00     99.01
17:42:51        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:52        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:53        all      0.00      0.00      0.00     27.00      0.00     73.00
17:42:54        all      0.99      0.00      0.00      0.00      0.00     99.01
17:42:55        all      0.00      0.00      0.99      0.00      0.00     99.01
17:42:56        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:57        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:58        all      0.00      0.00      0.00      0.00      0.00    100.00
17:42:59        all      0.00      0.00      0.99      1.98      0.00     97.03
17:43:00        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:01        all      0.00      0.00      0.99      9.90      0.00     89.11
17:43:02        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:03        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:04        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:05        all      0.00      0.00      0.00     27.00      0.00     73.00
17:43:06        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:07        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:08        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:09        all      0.00      0.00      0.00      2.00      0.00     98.00
17:43:10        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:11        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:12        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:13        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:14        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:15        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:16        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:17        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:18        all      0.00      0.00      1.00      6.00      0.00     93.00
17:43:19        all      0.99      0.00      0.99     30.69      0.00     67.33
17:43:20        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:21        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:22        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:23        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:24        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:25        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:26        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:27        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:28        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:29        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:30        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:31        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:32        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:33        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:34        all      0.99      0.00      0.00      0.00      0.00     99.01
17:43:35        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:36        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:37        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:38        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:39        all      0.00      0.00      0.99      0.00      0.00     99.01
17:43:40        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:41        all      0.00      0.00      0.99      0.00      0.00     99.01
17:43:42        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:43        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:44        all      0.00      0.00      1.00      0.00      0.00     99.00
17:43:45        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:46        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:47        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:48        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:49        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:50        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:51        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:52        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:53        all      0.00      0.00      0.00      7.92      0.00     92.08
17:43:54        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:55        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:56        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:57        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:58        all      0.00      0.00      0.00      0.00      0.00    100.00
17:43:59        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:00        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:01        all      0.00      0.00      0.99     19.80      0.00     79.21
17:44:02        all      0.00      0.00      0.00     23.23      0.00     76.77
17:44:03        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:04        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:05        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:06        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:07        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:08        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:09        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:10        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:11        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:12        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:13        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:14        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:15        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:16        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:17        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:18        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:19        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:20        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:21        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:22        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:23        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:24        all      0.00      0.00      0.00      0.99      0.00     99.01
17:44:25        all      0.00      0.00      0.99      0.00      0.00     99.01
17:44:26        all      0.00      0.00      0.00      0.00      0.00    100.00
17:44:27        all      1.00      0.00      0.00      0.00      0.00     99.00
